command,u,v,loss,line_capacity,timestamp,battery_id,charge_change,battery_capacity,price,extra
EDGE,467,838,0.00507,312,,,,,,
EDGE,598,335,0.01579,391,,,,,,
EDGE,335,679,0.00149,446,,,,,,
EDGE,919,971,0.0069,311,,,,,,
EDGE,280,570,0.01379,123,,,,,,
EDGE,994,625,0.00537,474,,,,,,
EDGE,38,624,0.01286,250,,,,,,
EDGE,158,983,0.04716,440,,,,,,
EDGE,180,210,0.01138,366,,,,,,
EDGE,930,749,0.04511,289,,,,,,
EDGE,645,43,0.00961,162,,,,,,
EDGE,370,878,0.00937,54,,,,,,
EDGE,191,539,0.0248,424,,,,,,
EDGE,942,931,0.01964,339,,,,,,
EDGE,805,959,0.0283,453,,,,,,
EDGE,566,163,0.02021,218,,,,,,
EDGE,644,629,0.04885,433,,,,,,
EDGE,847,813,0.02968,387,,,,,,
EDGE,983,890,0.01342,56,,,,,,
EDGE,745,237,0.00348,387,,,,,,
EDGE,902,33,0.04825,258,,,,,,
EDGE,628,232,0.03339,158,,,,,,
EDGE,957,143,0.0118,269,,,,,,
EDGE,300,228,0.03785,316,,,,,,
EDGE,454,205,0.01571,145,,,,,,
EDGE,257,979,0.03991,137,,,,,,
EDGE,72,197,0.04005,372,,,,,,
EDGE,968,218,0.00105,101,,,,,,
EDGE,181,447,0.01102,63,,,,,,
EDGE,392,164,0.00328,151,,,,,,
EDGE,612,712,0.0303,362,,,,,,
EDGE,185,348,0.02307,457,,,,,,
EDGE,324,105,0.04813,214,,,,,,
EDGE,767,721,0.00707,92,,,,,,
EDGE,546,467,0.04984,396,,,,,,
EDGE,928,431,0.03327,476,,,,,,
EDGE,213,577,0.02753,493,,,,,,
EDGE,542,311,0.02818,373,,,,,,
EDGE,753,134,0.04376,251,,,,,,
EDGE,41,534,0.00302,118,,,,,,
EDGE,751,705,0.04815,303,,,,,,
EDGE,606,789,0.01216,203,,,,,,
EDGE,255,75,0.01026,450,,,,,,
EDGE,771,120,0.02103,268,,,,,,
EDGE,466,142,0.0211,225,,,,,,
EDGE,456,297,0.03807,420,,,,,,
EDGE,397,891,0.02191,383,,,,,,
EDGE,421,422,0.01071,327,,,,,,
EDGE,192,952,0.04402,495,,,,,,
EDGE,565,459,0.04229,446,,,,,,
EDGE,898,197,0.02388,191,,,,,,
EDGE,451,36,0.04167,350,,,,,,
EDGE,990,359,0.00298,437,,,,,,
EDGE,520,717,0.00309,332,,,,,,
EDGE,829,849,0.03858,469,,,,,,
EDGE,133,60,0.0162,451,,,,,,
EDGE,417,421,0.01569,189,,,,,,
EDGE,248,23,0.03006,401,,,,,,
EDGE,348,508,0.00934,417,,,,,,
EDGE,460,275,0.02448,87,,,,,,
EDGE,142,787,0.03253,439,,,,,,
EDGE,179,573,0.04195,200,,,,,,
EDGE,861,658,0.04596,335,,,,,,
EDGE,102,965,0.03435,190,,,,,,
EDGE,49,506,0.00725,269,,,,,,
EDGE,396,932,0.03843,54,,,,,,
EDGE,256,21,0.04307,145,,,,,,
EDGE,869,81,0.04136,398,,,,,,
EDGE,299,668,0.04796,111,,,,,,
EDGE,203,934,0.00216,397,,,,,,
EDGE,972,523,0.03017,57,,,,,,
EDGE,800,660,0.03654,102,,,,,,
EDGE,611,352,0.01696,116,,,,,,
EDGE,871,962,0.03339,406,,,,,,
EDGE,62,147,0.04586,255,,,,,,
EDGE,820,535,0.01361,393,,,,,,
EDGE,12,862,0.02201,463,,,,,,
EDGE,782,388,0.00899,207,,,,,,
EDGE,236,792,0.00843,216,,,,,,
EDGE,775,697,0.02237,294,,,,,,
EDGE,378,875,0.01794,61,,,,,,
EDGE,557,253,0.04019,115,,,,,,
EDGE,191,838,0.01223,386,,,,,,
EDGE,773,972,0.04396,249,,,,,,
EDGE,364,767,0.04994,190,,,,,,
EDGE,826,229,0.02408,325,,,,,,
EDGE,572,745,0.01318,387,,,,,,
EDGE,159,469,0.03362,361,,,,,,
EDGE,882,734,0.04014,92,,,,,,
EDGE,440,328,0.04724,187,,,,,,
EDGE,836,971,0.03746,441,,,,,,
EDGE,154,992,0.00616,104,,,,,,
EDGE,310,449,0.02824,237,,,,,,
EDGE,163,890,0.03005,310,,,,,,
EDGE,603,89,0.00894,460,,,,,,
EDGE,651,718,0.04377,300,,,,,,
EDGE,76,600,0.03248,411,,,,,,
EDGE,200,96,0.01057,408,,,,,,
EDGE,355,588,0.02977,215,,,,,,
EDGE,260,407,0.02153,281,,,,,,
EDGE,437,453,0.01951,428,,,,,,
EDGE,247,99,0.04007,90,,,,,,
EDGE,953,208,0.0481,228,,,,,,
EDGE,80,620,0.02592,171,,,,,,
EDGE,673,334,0.04444,360,,,,,,
EDGE,855,518,0.03626,397,,,,,,
EDGE,71,140,0.03901,487,,,,,,
EDGE,949,279,0.00246,264,,,,,,
EDGE,421,649,0.03315,364,,,,,,
EDGE,663,834,0.03236,462,,,,,,
EDGE,989,48,0.03175,126,,,,,,
EDGE,166,466,0.00629,71,,,,,,
EDGE,16,368,0.03371,376,,,,,,
EDGE,806,270,0.00278,73,,,,,,
EDGE,835,737,0.03467,322,,,,,,
EDGE,965,971,0.03638,70,,,,,,
EDGE,272,173,0.04671,376,,,,,,
EDGE,832,521,0.03997,215,,,,,,
EDGE,861,177,0.01971,431,,,,,,
EDGE,861,732,0.04236,408,,,,,,
EDGE,258,948,0.02989,197,,,,,,
EDGE,978,588,0.0278,198,,,,,,
EDGE,711,520,0.01659,387,,,,,,
EDGE,111,863,0.03664,189,,,,,,
EDGE,57,65,0.03884,268,,,,,,
EDGE,760,197,0.00685,258,,,,,,
EDGE,812,88,0.01203,319,,,,,,
EDGE,321,999,0.01281,500,,,,,,
EDGE,109,819,0.03653,324,,,,,,
EDGE,937,929,0.04298,380,,,,,,
EDGE,232,831,0.00456,434,,,,,,
EDGE,895,930,0.04983,251,,,,,,
EDGE,602,582,0.03617,428,,,,,,
EDGE,513,121,0.04032,80,,,,,,
EDGE,13,562,0.00767,158,,,,,,
EDGE,843,51,0.00819,440,,,,,,
EDGE,408,465,0.01776,305,,,,,,
EDGE,440,615,0.02612,254,,,,,,
EDGE,81,480,0.02591,282,,,,,,
EDGE,238,756,0.0356,492,,,,,,
EDGE,563,660,0.00742,337,,,,,,
EDGE,484,429,0.04318,125,,,,,,
EDGE,125,332,0.04716,153,,,,,,
EDGE,146,865,0.01643,364,,,,,,
EDGE,591,55,0.03589,271,,,,,,
EDGE,823,497,0.04028,276,,,,,,
EDGE,268,24,0.04,204,,,,,,
EDGE,421,634,0.03041,245,,,,,,
EDGE,706,730,0.01572,482,,,,,,
EDGE,86,22,0.01362,399,,,,,,
EDGE,306,704,0.00269,199,,,,,,
EDGE,793,154,0.02908,305,,,,,,
EDGE,318,533,0.04505,380,,,,,,
EDGE,955,651,0.02572,431,,,,,,
EDGE,981,131,0.01471,288,,,,,,
EDGE,88,298,0.04159,297,,,,,,
EDGE,342,390,0.00709,400,,,,,,
EDGE,657,541,0.01582,412,,,,,,
EDGE,497,23,0.00818,63,,,,,,
EDGE,853,168,0.00657,475,,,,,,
EDGE,627,282,0.01516,229,,,,,,
EDGE,705,80,0.01373,449,,,,,,
EDGE,162,410,0.03387,160,,,,,,
EDGE,537,784,0.01992,442,,,,,,
EDGE,138,973,0.00109,394,,,,,,
EDGE,1,681,0.01097,341,,,,,,
EDGE,710,863,0.01006,77,,,,,,
EDGE,481,17,0.04229,281,,,,,,
EDGE,976,82,0.00818,316,,,,,,
EDGE,98,267,0.01849,269,,,,,,
EDGE,787,136,0.02755,379,,,,,,
EDGE,334,260,0.00818,209,,,,,,
EDGE,323,114,0.03649,238,,,,,,
EDGE,133,123,0.03092,115,,,,,,
EDGE,376,696,0.01145,114,,,,,,
EDGE,767,818,0.00458,217,,,,,,
EDGE,883,818,0.01613,253,,,,,,
EDGE,243,319,0.01291,450,,,,,,
EDGE,19,377,0.00552,429,,,,,,
EDGE,979,499,0.04039,308,,,,,,
EDGE,85,781,0.00467,396,,,,,,
EDGE,440,854,0.04961,342,,,,,,
EDGE,247,788,0.04124,259,,,,,,
EDGE,461,223,0.00749,214,,,,,,
EDGE,587,18,0.04665,85,,,,,,
EDGE,871,425,0.01845,270,,,,,,
EDGE,579,148,0.03118,493,,,,,,
EDGE,10,471,0.02345,242,,,,,,
EDGE,681,41,0.01645,372,,,,,,
EDGE,848,879,0.03573,298,,,,,,
EDGE,679,727,0.02761,230,,,,,,
EDGE,31,916,0.00628,294,,,,,,
EDGE,513,942,0.04692,377,,,,,,
EDGE,415,769,0.02128,227,,,,,,
EDGE,4,334,0.02483,264,,,,,,
EDGE,277,809,0.02697,66,,,,,,
EDGE,658,694,0.0244,214,,,,,,
EDGE,508,481,0.04111,467,,,,,,
EDGE,535,817,0.02887,381,,,,,,
EDGE,919,837,0.04484,401,,,,,,
EDGE,406,258,0.02226,52,,,,,,
EDGE,245,508,0.03384,288,,,,,,
EDGE,735,759,0.00951,264,,,,,,
EDGE,191,602,0.00953,78,,,,,,
EDGE,773,554,0.00942,96,,,,,,
EDGE,48,34,0.02018,438,,,,,,
EDGE,886,332,0.02477,477,,,,,,
EDGE,113,979,0.00804,169,,,,,,
EDGE,442,189,0.04081,219,,,,,,
EDGE,449,744,0.0453,170,,,,,,
EDGE,400,310,0.02245,169,,,,,,
EDGE,787,611,0.04266,451,,,,,,
EDGE,389,272,0.01127,50,,,,,,
EDGE,730,20,0.00577,195,,,,,,
EDGE,205,675,0.01233,101,,,,,,
EDGE,944,663,0.00154,339,,,,,,
EDGE,317,31,0.0348,73,,,,,,
EDGE,927,623,0.0363,89,,,,,,
EDGE,375,711,0.0424,158,,,,,,
EDGE,686,556,0.02933,256,,,,,,
EDGE,324,888,0.0499,352,,,,,,
EDGE,301,149,0.03087,207,,,,,,
EDGE,766,709,0.00409,227,,,,,,
EDGE,457,684,0.034,458,,,,,,
EDGE,668,807,0.03983,463,,,,,,
EDGE,25,496,0.04192,87,,,,,,
EDGE,652,817,0.01015,405,,,,,,
EDGE,519,293,0.03656,336,,,,,,
EDGE,238,129,0.00811,347,,,,,,
EDGE,747,183,0.04122,241,,,,,,
EDGE,797,600,0.03241,363,,,,,,
EDGE,678,746,0.02328,265,,,,,,
EDGE,846,594,0.02145,263,,,,,,
EDGE,430,890,0.00591,71,,,,,,
EDGE,871,861,0.03663,421,,,,,,
EDGE,515,553,0.04297,384,,,,,,
EDGE,980,121,0.02837,281,,,,,,
EDGE,882,768,0.00787,471,,,,,,
EDGE,242,408,0.01711,469,,,,,,
EDGE,201,505,0.03209,55,,,,,,
EDGE,291,675,0.02527,412,,,,,,
EDGE,666,530,0.01367,67,,,,,,
EDGE,363,104,0.03663,499,,,,,,
EDGE,960,750,0.0462,354,,,,,,
EDGE,572,512,0.04132,136,,,,,,
EDGE,698,637,0.03054,94,,,,,,
EDGE,540,334,0.042,91,,,,,,
EDGE,342,534,0.02177,412,,,,,,
EDGE,671,636,0.02599,299,,,,,,
EDGE,258,81,0.043,415,,,,,,
EDGE,289,419,0.04702,156,,,,,,
EDGE,889,987,0.00403,258,,,,,,
EDGE,69,294,0.01905,484,,,,,,
EDGE,368,4,0.01984,195,,,,,,
EDGE,620,215,0.03968,385,,,,,,
EDGE,886,477,0.04172,88,,,,,,
EDGE,693,357,0.01025,111,,,,,,
EDGE,269,255,0.01467,339,,,,,,
EDGE,541,732,0.00524,262,,,,,,
EDGE,238,441,0.0454,91,,,,,,
EDGE,8,39,0.03905,293,,,,,,
EDGE,257,804,0.01695,431,,,,,,
EDGE,859,323,0.02385,166,,,,,,
EDGE,384,145,0.01241,288,,,,,,
EDGE,460,859,0.03221,302,,,,,,
EDGE,599,348,0.0164,153,,,,,,
EDGE,791,622,0.02485,232,,,,,,
EDGE,253,59,0.04968,387,,,,,,
EDGE,130,774,0.02218,277,,,,,,
EDGE,778,392,0.04488,403,,,,,,
EDGE,527,243,0.01156,276,,,,,,
EDGE,49,765,0.03993,417,,,,,,
EDGE,964,348,0.03317,215,,,,,,
EDGE,84,392,0.0342,345,,,,,,
EDGE,388,596,0.03801,273,,,,,,
EDGE,555,435,0.03483,253,,,,,,
EDGE,540,641,0.01829,419,,,,,,
EDGE,506,984,0.04222,493,,,,,,
EDGE,319,61,0.00979,247,,,,,,
EDGE,381,627,0.01137,122,,,,,,
EDGE,689,78,0.03348,168,,,,,,
EDGE,477,530,0.01184,477,,,,,,
EDGE,433,96,0.02859,203,,,,,,
EDGE,105,546,0.02072,266,,,,,,
EDGE,431,654,0.04849,325,,,,,,
EDGE,421,817,0.01699,306,,,,,,
EDGE,339,369,0.01014,439,,,,,,
EDGE,502,103,0.04618,406,,,,,,
EDGE,102,614,0.01453,181,,,,,,
EDGE,737,148,0.00784,416,,,,,,
EDGE,751,300,0.00459,437,,,,,,
EDGE,398,196,0.00714,292,,,,,,
EDGE,209,363,0.01954,466,,,,,,
EDGE,223,820,0.02945,159,,,,,,
EDGE,33,848,0.00458,160,,,,,,
EDGE,914,72,0.02091,82,,,,,,
EDGE,286,348,0.02927,296,,,,,,
EDGE,958,268,0.02709,99,,,,,,
EDGE,9,402,0.01321,339,,,,,,
EDGE,976,280,0.04094,445,,,,,,
EDGE,499,539,0.01925,284,,,,,,
EDGE,310,70,0.04742,449,,,,,,
EDGE,810,184,0.03522,444,,,,,,
EDGE,672,330,0.02581,112,,,,,,
EDGE,42,546,0.04706,281,,,,,,
EDGE,126,243,0.02752,427,,,,,,
EDGE,586,75,0.02529,223,,,,,,
EDGE,445,835,0.00212,414,,,,,,
EDGE,343,562,0.02223,139,,,,,,
EDGE,637,733,0.00496,456,,,,,,
EDGE,698,474,0.03019,333,,,,,,
EDGE,112,292,0.02692,57,,,,,,
EDGE,536,297,0.04916,162,,,,,,
EDGE,415,762,0.02518,358,,,,,,
EDGE,695,492,0.02128,480,,,,,,
EDGE,529,58,0.03222,296,,,,,,
EDGE,219,43,0.00648,468,,,,,,
EDGE,705,655,0.02909,102,,,,,,
EDGE,467,948,0.0385,137,,,,,,
EDGE,918,477,0.04445,199,,,,,,
EDGE,848,308,0.01668,390,,,,,,
EDGE,189,451,0.02494,487,,,,,,
EDGE,92,237,0.00857,425,,,,,,
EDGE,394,481,0.01452,407,,,,,,
EDGE,864,972,0.01761,118,,,,,,
EDGE,180,869,0.03401,413,,,,,,
EDGE,234,150,0.03183,354,,,,,,
EDGE,109,601,0.04589,374,,,,,,
EDGE,977,16,0.02604,306,,,,,,
EDGE,712,7,0.0053,428,,,,,,
EDGE,148,754,0.00329,463,,,,,,
EDGE,129,142,0.02674,451,,,,,,
EDGE,187,700,0.00733,189,,,,,,
EDGE,642,37,0.03672,303,,,,,,
EDGE,269,920,0.01468,373,,,,,,
EDGE,244,317,0.02687,321,,,,,,
EDGE,487,442,0.04698,326,,,,,,
EDGE,685,942,0.02473,316,,,,,,
EDGE,438,347,0.00684,325,,,,,,
EDGE,568,290,0.04799,79,,,,,,
EDGE,647,79,0.04949,232,,,,,,
EDGE,348,417,0.00923,53,,,,,,
EDGE,759,215,0.0322,414,,,,,,
EDGE,219,700,0.0239,434,,,,,,
EDGE,78,139,0.03746,190,,,,,,
EDGE,27,50,0.03467,361,,,,,,
EDGE,949,529,0.05,455,,,,,,
EDGE,685,576,0.03933,305,,,,,,
EDGE,347,469,0.00759,122,,,,,,
EDGE,658,350,0.04364,491,,,,,,
EDGE,315,2,0.03634,221,,,,,,
EDGE,852,753,0.02748,267,,,,,,
EDGE,203,316,0.02646,246,,,,,,
EDGE,795,981,0.01222,474,,,,,,
EDGE,51,622,0.0474,158,,,,,,
EDGE,491,903,0.00127,400,,,,,,
EDGE,698,733,0.0144,155,,,,,,
EDGE,857,886,0.02343,275,,,,,,
EDGE,111,263,0.02161,444,,,,,,
EDGE,910,930,0.00192,196,,,,,,
EDGE,845,594,0.01778,78,,,,,,
EDGE,326,384,0.00943,274,,,,,,
EDGE,325,164,0.01465,111,,,,,,
EDGE,372,526,0.02041,375,,,,,,
EDGE,65,532,0.02233,266,,,,,,
EDGE,825,976,0.02111,318,,,,,,
EDGE,391,727,0.01064,227,,,,,,
EDGE,234,367,0.02456,113,,,,,,
EDGE,847,300,0.03617,215,,,,,,
EDGE,365,770,0.03562,185,,,,,,
EDGE,565,810,0.03916,218,,,,,,
EDGE,190,309,0.03233,308,,,,,,
EDGE,164,338,0.02491,218,,,,,,
EDGE,17,558,0.00947,95,,,,,,
EDGE,981,72,0.02201,377,,,,,,
EDGE,543,71,0.03873,152,,,,,,
EDGE,228,224,0.02191,78,,,,,,
EDGE,953,413,0.04429,425,,,,,,
EDGE,219,206,0.0287,202,,,,,,
EDGE,271,357,0.02224,173,,,,,,
EDGE,408,927,0.04125,100,,,,,,
EDGE,223,793,0.00795,391,,,,,,
EDGE,954,317,0.03915,314,,,,,,
EDGE,723,78,0.02396,475,,,,,,
EDGE,606,939,0.00359,148,,,,,,
EDGE,910,581,0.02636,434,,,,,,
EDGE,69,810,0.00916,134,,,,,,
EDGE,405,860,0.02199,325,,,,,,
EDGE,444,818,0.00482,193,,,,,,
EDGE,917,349,0.03724,296,,,,,,
EDGE,941,471,0.03653,65,,,,,,
EDGE,513,204,0.03663,168,,,,,,
EDGE,924,177,0.02125,484,,,,,,
EDGE,878,621,0.01952,85,,,,,,
EDGE,924,896,0.04654,105,,,,,,
EDGE,991,566,0.03469,229,,,,,,
EDGE,477,996,0.01536,472,,,,,,
EDGE,651,607,0.04741,151,,,,,,
EDGE,197,12,0.00675,400,,,,,,
EDGE,234,789,0.01819,225,,,,,,
EDGE,705,640,0.03179,290,,,,,,
EDGE,200,815,0.04881,197,,,,,,
EDGE,157,908,0.00332,148,,,,,,
EDGE,260,849,0.0073,374,,,,,,
EDGE,617,556,0.00876,386,,,,,,
EDGE,90,191,0.01817,182,,,,,,
EDGE,145,132,0.00736,163,,,,,,
EDGE,204,79,0.04109,391,,,,,,
EDGE,954,61,0.02433,317,,,,,,
EDGE,459,889,0.04026,55,,,,,,
EDGE,495,173,0.02003,96,,,,,,
EDGE,273,702,0.03606,454,,,,,,
EDGE,632,509,0.00552,325,,,,,,
EDGE,749,275,0.02259,277,,,,,,
EDGE,958,237,0.04864,171,,,,,,
EDGE,933,688,0.00373,398,,,,,,
EDGE,925,409,0.03443,322,,,,,,
EDGE,199,441,0.02158,389,,,,,,
EDGE,979,73,0.00367,85,,,,,,
EDGE,421,407,0.02511,83,,,,,,
EDGE,437,725,0.04328,213,,,,,,
EDGE,917,596,0.0173,438,,,,,,
EDGE,947,657,0.03476,82,,,,,,
EDGE,430,967,0.04883,367,,,,,,
EDGE,760,656,0.01616,434,,,,,,
EDGE,228,906,0.01737,312,,,,,,
EDGE,624,954,0.01422,360,,,,,,
EDGE,440,972,0.02155,77,,,,,,
EDGE,231,995,0.04913,94,,,,,,
EDGE,49,199,0.01611,112,,,,,,
EDGE,13,996,0.00582,472,,,,,,
EDGE,381,154,0.0374,481,,,,,,
EDGE,322,71,0.04604,75,,,,,,
EDGE,286,475,0.01609,493,,,,,,
EDGE,342,534,0.00411,120,,,,,,
EDGE,665,190,0.02238,289,,,,,,
EDGE,932,914,0.04744,265,,,,,,
EDGE,642,856,0.04187,260,,,,,,
EDGE,201,10,0.02921,244,,,,,,
EDGE,946,730,0.02395,337,,,,,,
EDGE,693,552,0.01913,205,,,,,,
EDGE,4,634,0.00309,439,,,,,,
EDGE,15,851,0.00365,157,,,,,,
EDGE,621,879,0.02567,286,,,,,,
EDGE,971,893,0.00538,374,,,,,,
EDGE,302,574,0.04058,404,,,,,,
EDGE,560,653,0.02525,155,,,,,,
EDGE,653,552,0.02182,154,,,,,,
EDGE,378,951,0.02696,372,,,,,,
EDGE,166,344,0.00486,368,,,,,,
EDGE,185,169,0.01909,229,,,,,,
EDGE,324,384,0.01017,216,,,,,,
EDGE,513,310,0.03819,155,,,,,,
EDGE,218,143,0.02548,366,,,,,,
EDGE,698,328,0.00811,303,,,,,,
EDGE,567,525,0.01689,280,,,,,,
EDGE,564,472,0.04649,154,,,,,,
EDGE,295,896,0.04756,428,,,,,,
EDGE,959,54,0.02917,51,,,,,,
EDGE,31,91,0.0015,173,,,,,,
EDGE,985,421,0.04089,444,,,,,,
EDGE,27,459,0.02008,71,,,,,,
EDGE,11,47,0.03355,148,,,,,,
EDGE,219,944,0.02921,214,,,,,,
EDGE,92,300,0.03621,442,,,,,,
EDGE,972,851,0.04598,315,,,,,,
EDGE,821,824,0.00353,369,,,,,,
EDGE,778,556,0.04263,458,,,,,,
EDGE,530,88,0.03656,236,,,,,,
EDGE,815,323,0.02004,250,,,,,,
EDGE,670,733,0.04342,205,,,,,,
EDGE,756,371,0.03629,241,,,,,,
EDGE,564,630,0.02205,292,,,,,,
EDGE,333,585,0.03006,127,,,,,,
EDGE,978,683,0.04294,202,,,,,,
EDGE,352,654,0.04037,444,,,,,,
EDGE,84,271,0.03731,309,,,,,,
EDGE,289,13,0.03221,259,,,,,,
EDGE,462,762,0.0312,415,,,,,,
EDGE,903,779,0.04076,161,,,,,,
EDGE,244,528,0.00903,150,,,,,,
EDGE,73,996,0.03564,489,,,,,,
EDGE,510,320,0.00981,318,,,,,,
EDGE,840,332,0.02037,401,,,,,,
EDGE,575,791,0.0351,58,,,,,,
EDGE,638,665,0.00111,65,,,,,,
EDGE,310,651,0.00316,93,,,,,,
EDGE,851,760,0.04041,259,,,,,,
EDGE,754,775,0.03662,334,,,,,,
EDGE,121,983,0.03929,207,,,,,,
EDGE,796,146,0.04316,264,,,,,,
EDGE,31,386,0.04465,239,,,,,,
EDGE,998,458,0.03572,446,,,,,,
EDGE,165,249,0.00654,354,,,,,,
EDGE,924,775,0.02666,345,,,,,,
EDGE,836,216,0.02151,496,,,,,,
EDGE,270,635,0.01922,179,,,,,,
EDGE,591,670,0.02911,201,,,,,,
EDGE,251,957,0.00765,313,,,,,,
EDGE,110,952,0.0104,330,,,,,,
EDGE,741,321,0.02652,304,,,,,,
EDGE,688,217,0.03899,272,,,,,,
EDGE,745,812,0.03449,212,,,,,,
EDGE,606,897,0.03659,271,,,,,,
EDGE,745,525,0.03958,482,,,,,,
EDGE,840,233,0.00987,324,,,,,,
EDGE,420,710,0.01547,445,,,,,,
EDGE,721,526,0.01093,381,,,,,,
EDGE,844,210,0.04897,148,,,,,,
EDGE,351,683,0.00233,372,,,,,,
EDGE,596,849,0.04123,61,,,,,,
EDGE,48,8,0.003,368,,,,,,
EDGE,954,870,0.02685,247,,,,,,
EDGE,118,264,0.03065,376,,,,,,
EDGE,296,170,0.02311,411,,,,,,
EDGE,354,47,0.00177,348,,,,,,
EDGE,636,657,0.02993,339,,,,,,
EDGE,372,516,0.03147,477,,,,,,
EDGE,263,666,0.02554,214,,,,,,
EDGE,282,22,0.03037,124,,,,,,
EDGE,796,829,0.00825,83,,,,,,
EDGE,771,314,0.04391,136,,,,,,
EDGE,83,375,0.00487,374,,,,,,
EDGE,101,561,0.03441,391,,,,,,
EDGE,771,590,0.02926,59,,,,,,
EDGE,64,697,0.04318,317,,,,,,
EDGE,568,57,0.0236,247,,,,,,
EDGE,169,93,0.03221,117,,,,,,
EDGE,573,536,0.03121,253,,,,,,
EDGE,389,891,0.02852,145,,,,,,
EDGE,621,51,0.03434,301,,,,,,
EDGE,460,681,0.03238,130,,,,,,
EDGE,931,454,0.04306,317,,,,,,
EDGE,601,195,0.01461,309,,,,,,
EDGE,36,350,0.00182,349,,,,,,
EDGE,305,814,0.0417,82,,,,,,
EDGE,824,538,0.03368,465,,,,,,
EDGE,635,177,0.01139,434,,,,,,
EDGE,30,191,0.01677,154,,,,,,
EDGE,448,670,0.02372,487,,,,,,
EDGE,530,204,0.0398,273,,,,,,
EDGE,773,900,0.03319,68,,,,,,
EDGE,120,292,0.04577,196,,,,,,
EDGE,672,246,0.00548,482,,,,,,
EDGE,664,732,0.04464,61,,,,,,
EDGE,582,193,0.03395,275,,,,,,
EDGE,980,613,0.04007,379,,,,,,
EDGE,794,938,0.03301,312,,,,,,
EDGE,420,451,0.01501,402,,,,,,
EDGE,598,763,0.00908,437,,,,,,
EDGE,41,107,0.04022,57,,,,,,
EDGE,170,507,0.01825,206,,,,,,
EDGE,706,157,0.04038,325,,,,,,
EDGE,608,231,0.02985,408,,,,,,
EDGE,515,760,0.04945,298,,,,,,
EDGE,414,935,0.04102,251,,,,,,
EDGE,804,940,0.00748,359,,,,,,
EDGE,454,954,0.00686,283,,,,,,
EDGE,657,404,0.02937,364,,,,,,
EDGE,275,409,0.00781,339,,,,,,
EDGE,587,47,0.03434,264,,,,,,
EDGE,117,257,0.00863,406,,,,,,
EDGE,466,853,0.0052,306,,,,,,
EDGE,16,556,0.04445,279,,,,,,
EDGE,825,979,0.04052,399,,,,,,
EDGE,420,84,0.00281,495,,,,,,
EDGE,528,156,0.01539,205,,,,,,
EDGE,30,787,0.02319,339,,,,,,
EDGE,322,128,0.0255,230,,,,,,
EDGE,546,94,0.02063,185,,,,,,
EDGE,671,432,0.01273,142,,,,,,
EDGE,915,671,0.03212,107,,,,,,
EDGE,200,149,0.01287,360,,,,,,
EDGE,115,351,0.04846,418,,,,,,
EDGE,461,935,0.01361,284,,,,,,
EDGE,982,366,0.01947,151,,,,,,
EDGE,497,374,0.04086,440,,,,,,
EDGE,847,578,0.02334,145,,,,,,
EDGE,471,631,0.02159,381,,,,,,
EDGE,815,110,0.04661,446,,,,,,
EDGE,206,692,0.04177,77,,,,,,
EDGE,522,105,0.04993,479,,,,,,
EDGE,950,991,0.03032,422,,,,,,
EDGE,166,878,0.00312,445,,,,,,
EDGE,397,965,0.03272,489,,,,,,
EDGE,904,472,0.04475,242,,,,,,
EDGE,298,969,0.0412,245,,,,,,
EDGE,961,566,0.03497,414,,,,,,
EDGE,577,42,0.04598,288,,,,,,
EDGE,751,609,0.01025,495,,,,,,
EDGE,381,637,0.01164,157,,,,,,
EDGE,573,208,0.03107,373,,,,,,
EDGE,25,822,0.00919,97,,,,,,
EDGE,197,649,0.04175,65,,,,,,
EDGE,368,949,0.049,355,,,,,,
EDGE,69,652,0.006,256,,,,,,
EDGE,728,935,0.0107,481,,,,,,
EDGE,359,999,0.02393,246,,,,,,
EDGE,195,546,0.01051,389,,,,,,
EDGE,545,168,0.04007,372,,,,,,
EDGE,328,235,0.03218,405,,,,,,
EDGE,787,858,0.00385,303,,,,,,
EDGE,226,851,0.04816,352,,,,,,
EDGE,553,2,0.02741,370,,,,,,
EDGE,982,267,0.01266,151,,,,,,
EDGE,378,595,0.02907,53,,,,,,
EDGE,899,827,0.04673,372,,,,,,
EDGE,323,491,0.0107,484,,,,,,
EDGE,983,305,0.02415,240,,,,,,
EDGE,623,384,0.03245,124,,,,,,
EDGE,599,92,0.03081,309,,,,,,
EDGE,339,993,0.04629,452,,,,,,
EDGE,801,708,0.04502,256,,,,,,
EDGE,734,519,0.03288,252,,,,,,
EDGE,395,284,0.0303,406,,,,,,
EDGE,20,112,0.01338,460,,,,,,
EDGE,129,908,0.01951,457,,,,,,
EDGE,178,9,0.0193,359,,,,,,
EDGE,107,50,0.04834,368,,,,,,
EDGE,762,378,0.03919,486,,,,,,
EDGE,66,590,0.00156,441,,,,,,
EDGE,753,947,0.0162,466,,,,,,
EDGE,707,61,0.03914,367,,,,,,
EDGE,679,711,0.01012,246,,,,,,
EDGE,875,836,0.02338,139,,,,,,
EDGE,57,868,0.02169,434,,,,,,
EDGE,280,298,0.0487,337,,,,,,
EDGE,445,935,0.0361,464,,,,,,
EDGE,491,732,0.01829,352,,,,,,
EDGE,994,340,0.00474,70,,,,,,
EDGE,579,491,0.03268,370,,,,,,
EDGE,495,824,0.02776,473,,,,,,
EDGE,292,238,0.01311,406,,,,,,
EDGE,348,192,0.0214,225,,,,,,
