command,u,v,travel_time,energy_cost,congestion,install_cost,capacity,price
ROAD,852,214,81,3.343,42,24866,12,1.65
ROAD,116,488,38,1.217,6,18004,8,3.1
ROAD,905,80,56,2.999,82,717,15,1.73
ROAD,491,613,83,3.205,63,3077,16,3.4
ROAD,106,731,87,1.977,90,13643,1,3.35
ROAD,139,440,35,3.293,21,48794,17,4.58
ROAD,825,220,12,2.148,78,35738,8,3.04
ROAD,643,330,13,3.843,52,41032,17,2.45
ROAD,840,405,19,2.995,80,42426,10,1.8
ROAD,886,368,67,1.632,63,31968,19,1.16
ROAD,757,229,71,2.911,99,36369,11,2.72
ROAD,424,416,38,3.727,23,33692,10,2.03
ROAD,168,769,53,3.837,76,17295,6,1.79
ROAD,552,389,86,3.322,41,922,7,2.9
ROAD,586,61,63,2.148,99,6973,15,4.68
ROAD,659,255,71,2.716,34,1684,14,4.58
ROAD,294,553,6,0.263,15,39311,20,2.64
ROAD,550,604,81,1.077,7,26575,9,3.43
ROAD,934,115,27,0.97,98,27956,18,3.97
ROAD,297,987,88,1.846,49,44156,19,1.53
ROAD,202,935,88,2.965,9,26777,11,3.12
ROAD,100,116,15,3.523,9,6832,11,1.53
ROAD,805,931,15,3.484,81,31183,11,4.67
ROAD,576,63,40,0.645,25,3090,9,3.99
ROAD,784,736,81,0.787,58,45392,4,2.45
ROAD,762,779,35,3.097,77,31786,13,2.96
ROAD,164,183,29,1.796,35,27560,18,4.75
ROAD,310,713,5,3.455,63,10409,15,3.8
ROAD,617,952,60,3.813,5,24122,17,1.97
ROAD,169,968,49,3.211,23,31502,16,2.81
ROAD,114,811,89,0.642,19,21613,4,2.37
ROAD,873,51,61,0.697,13,12783,17,3.43
ROAD,551,836,62,3.296,48,33223,17,4.53
ROAD,675,191,51,3.921,42,9483,8,2.74
ROAD,340,185,24,2.662,65,21598,8,2.31
ROAD,117,130,3,3.961,73,42228,15,4.34
ROAD,178,672,14,3.364,81,11170,13,4.28
ROAD,293,548,42,1.96,27,1149,7,4.74
ROAD,484,279,8,3.514,58,9808,11,3.36
ROAD,504,769,67,3.757,23,38092,3,4.19
ROAD,832,968,36,2.875,27,14876,12,1.62
ROAD,801,369,49,4.327,93,27887,18,3.03
ROAD,442,226,71,3.236,82,31207,14,1.54
ROAD,802,216,55,3.144,70,11572,19,4.05
ROAD,545,690,62,0.366,47,14408,19,3.73
ROAD,848,261,59,1.206,24,26030,14,2.32
ROAD,413,154,37,3.286,90,12780,14,3.15
ROAD,226,737,51,1.374,90,5945,17,2.22
ROAD,782,821,69,4.166,17,39788,4,2.86
ROAD,163,51,13,2.713,40,4457,2,4.99
ROAD,743,668,89,3.427,43,25692,14,3.37
ROAD,237,124,6,0.516,13,16694,18,3.16
ROAD,641,499,76,1.803,41,545,8,5
ROAD,250,524,50,4.346,47,29765,4,1.22
ROAD,611,793,46,3.127,8,32619,19,1.41
ROAD,729,907,18,2.534,91,31041,5,2.97
ROAD,853,22,69,3.197,12,26581,20,2.78
ROAD,310,631,79,0.778,16,23155,19,1.64
ROAD,10,401,50,0.985,68,10284,13,1.01
ROAD,188,161,87,3.954,32,6214,9,4.93
ROAD,778,268,87,1.548,39,38917,6,1.52
ROAD,277,877,36,2.474,86,20500,13,2.38
ROAD,843,315,65,4.043,35,12892,10,3.16
ROAD,683,748,4,3.694,58,32190,4,2.73
ROAD,416,903,71,2.337,50,42655,7,2.98
ROAD,704,355,69,0.705,58,37183,3,4.28
ROAD,261,479,3,0.684,51,3207,20,3.57
ROAD,386,50,86,4.07,21,23975,17,1.23
ROAD,41,671,44,2.658,56,18050,10,3.41
ROAD,894,868,89,3.35,83,27737,11,3.8
ROAD,133,135,81,3.801,86,4934,20,2.26
ROAD,542,897,65,3.108,98,12223,6,3.94
ROAD,41,259,20,3.352,3,26323,18,1.26
ROAD,77,210,46,1.6,82,12998,20,2.96
ROAD,150,457,84,3.208,12,5628,2,1.08
ROAD,996,132,58,1.18,63,831,13,3.42
ROAD,125,287,24,3.206,90,1536,1,3.09
ROAD,32,720,79,1.272,9,19744,13,4.68
ROAD,677,712,81,2.353,85,17350,11,3.41
ROAD,969,544,16,4.327,14,46486,11,1.03
ROAD,826,618,12,1.65,93,29494,20,4.49
ROAD,150,831,30,4.105,74,49218,4,3.12
ROAD,130,868,36,2.443,84,27496,8,1.62
ROAD,385,206,65,3.386,18,9847,14,4.1
ROAD,791,157,22,1.836,41,19240,9,4.48
ROAD,837,672,82,2.488,2,1654,2,1.14
ROAD,846,799,10,3.937,4,13172,16,3.08
ROAD,281,791,29,3.242,49,41481,11,4.53
ROAD,121,862,73,2.185,68,47387,17,1.13
ROAD,556,437,30,0.626,87,22157,6,2.16
ROAD,593,520,6,3.753,41,30096,20,2.19
ROAD,990,3,13,2.391,85,35079,12,3.96
ROAD,670,143,59,0.71,10,30855,3,1.61
ROAD,437,142,61,2.504,19,30747,11,2.64
ROAD,738,807,64,2.434,7,19205,20,1.93
ROAD,601,719,78,1.432,58,32098,17,3.14
ROAD,252,908,20,2.621,61,32216,2,1.62
ROAD,539,285,31,3.799,28,2409,8,2.73
ROAD,69,107,61,0.493,62,41294,3,2.15
ROAD,463,500,43,2.596,33,7861,8,2.75
ROAD,24,189,41,1.567,38,41692,8,1.59
ROAD,838,52,55,3.658,89,43168,10,1.41
ROAD,249,474,18,2.589,76,21490,8,1.39
ROAD,31,665,90,1.079,19,31626,14,4.71
ROAD,666,143,7,4.179,94,20323,19,3
ROAD,986,376,43,2.729,99,14674,16,1.64
ROAD,588,720,9,2.087,99,47771,4,3.86
ROAD,342,668,86,2.158,58,49718,18,1.65
ROAD,667,232,32,2.232,32,40063,4,2.61
ROAD,781,791,84,1.603,74,26500,13,3.24
ROAD,436,425,32,4.118,19,30866,10,1.95
ROAD,385,972,36,2.588,27,2325,1,4.39
ROAD,461,12,32,3.414,22,28548,8,1.02
ROAD,764,793,26,3.491,55,1015,7,4.4
ROAD,340,132,62,3.92,93,33996,9,4.51
ROAD,804,17,90,1.127,23,47715,17,4.62
ROAD,770,490,84,1.183,94,22863,15,2.27
ROAD,723,593,58,3.843,84,33530,19,2.38
ROAD,75,586,67,3.705,97,8801,6,1.3
ROAD,206,495,59,2.826,18,40203,11,1
ROAD,526,760,51,0.325,52,2671,8,1.44
ROAD,286,538,29,2.865,30,46991,4,1.94
ROAD,498,689,3,2.704,71,16984,7,3.06
ROAD,865,44,57,2.721,62,36267,13,2.48
ROAD,599,318,80,3.388,64,17749,13,1.72
ROAD,628,573,9,3.993,100,29143,12,2.06
ROAD,705,252,53,3.148,16,27987,20,1.17
ROAD,285,224,52,1.385,41,10196,14,1.66
ROAD,971,226,10,3.244,80,620,7,1.08
ROAD,374,89,73,3.644,42,44730,5,2.61
ROAD,424,978,57,1.565,55,26037,14,2.72
ROAD,842,477,48,3.086,91,18568,1,1.64
ROAD,691,948,89,4.391,57,49816,20,4.99
ROAD,186,718,71,2.541,60,35787,8,2.11
ROAD,420,750,30,3.901,65,16121,11,1.07
ROAD,622,332,45,1.006,46,34772,14,3.18
ROAD,978,684,21,2.322,12,30890,9,2.79
ROAD,432,918,71,4.418,37,18819,20,4.35
ROAD,103,142,68,0.72,79,10170,18,2.32
ROAD,53,123,64,3.431,24,21103,18,4.37
ROAD,692,830,27,4.185,8,46617,2,3.77
ROAD,839,791,18,4.366,68,39369,16,2.07
ROAD,24,931,67,1.486,32,42245,3,3.86
ROAD,271,370,51,0.974,34,30442,1,2.52
ROAD,416,337,53,0.932,56,26321,6,3.91
ROAD,464,850,21,0.424,83,29219,12,3.03
ROAD,139,107,61,3.751,87,34727,20,4.73
ROAD,466,679,52,0.247,58,3101,17,3.52
ROAD,430,587,9,2.668,85,11527,1,1.27
ROAD,649,184,86,1.616,8,21960,2,3.01
ROAD,95,594,17,1.144,0,23254,10,3.39
ROAD,136,784,83,1.518,18,9446,9,2.51
ROAD,154,650,28,2.962,70,23600,19,1.6
ROAD,283,324,39,3.204,45,39025,1,1.92
ROAD,211,941,28,3.734,78,22296,18,2.33
ROAD,2,852,87,3.325,73,7521,6,2.81
ROAD,100,413,18,2.681,100,34485,15,3.51
ROAD,574,185,19,1.906,23,9667,16,3.97
ROAD,580,738,79,0.654,53,39457,4,4.55
ROAD,349,664,12,1.739,83,46380,2,1.16
ROAD,159,800,15,3.665,82,44279,13,2.29
ROAD,389,98,76,1.839,49,19794,1,1.1
ROAD,53,879,37,4.131,94,41216,13,3.59
ROAD,447,914,59,4.352,69,1396,6,2.59
ROAD,408,132,33,0.468,7,34370,17,3.28
ROAD,600,2,28,2.768,33,23722,5,2.34
ROAD,965,122,14,1.594,38,34575,20,1.61
ROAD,701,388,17,1.938,8,12364,5,4.69
ROAD,361,499,53,2.898,58,8315,8,1.09
ROAD,97,457,34,1.695,50,18174,10,3.64
ROAD,163,701,78,3.649,74,43568,12,4.57
ROAD,554,467,11,3.069,48,27889,2,1.64
ROAD,223,538,45,1.851,90,6500,19,1.84
ROAD,915,269,4,0.761,83,49367,20,2.37
ROAD,386,70,7,1.18,33,15854,4,1.55
ROAD,46,430,76,3.055,96,7412,12,4.9
ROAD,837,978,33,2.162,37,41837,13,2
ROAD,896,529,52,3.753,71,13435,8,3.09
ROAD,159,714,3,2.519,85,8035,10,1.99
ROAD,367,93,56,2.321,83,13544,17,2.99
ROAD,877,676,67,0.553,56,8572,5,1.76
ROAD,296,737,69,1.126,41,32541,18,1.28
ROAD,171,266,57,0.58,13,12885,5,4.81
ROAD,864,589,23,3.174,59,28831,5,2.65
ROAD,946,514,88,3.811,32,2522,12,2.86
ROAD,499,159,77,3.49,69,34106,2,4.1
ROAD,39,130,20,2.988,9,35808,11,1.42
ROAD,160,150,43,2.349,33,26592,11,2.79
ROAD,197,358,10,2.315,16,13105,3,2.64
ROAD,686,828,24,4.153,34,9334,4,4.48
ROAD,788,745,64,3.496,17,46382,6,3.2
ROAD,382,848,63,1.327,38,1447,11,1.83
ROAD,430,197,3,2.557,90,16256,13,1.89
ROAD,577,181,12,4.298,72,42098,5,3.45
ROAD,287,446,65,1.479,94,44450,15,4.25
ROAD,355,345,10,1.436,61,29125,2,4.02
ROAD,248,459,11,0.849,75,45998,17,4.68
ROAD,343,714,90,4.165,4,7560,11,3.97
ROAD,685,613,60,0.944,64,10768,15,4.98
ROAD,874,237,33,4.285,6,40054,15,2.2
ROAD,27,414,78,2.924,7,21157,7,1.8
ROAD,213,610,29,2.987,99,48493,14,1.55
ROAD,192,435,21,2.038,99,49834,9,3.3
ROAD,652,794,11,0.356,28,25562,7,2.03
ROAD,522,615,25,3.618,49,23036,7,3.22
ROAD,518,382,45,3.439,70,8457,9,3.57
ROAD,376,189,84,2.884,84,28046,19,4.95
ROAD,256,868,17,1.871,83,43405,18,1.47
ROAD,618,662,66,1.989,48,37104,8,2.49
ROAD,824,392,70,1.566,94,5517,13,3.4
ROAD,211,415,90,4.15,44,35114,19,2.88
ROAD,439,463,62,1.415,69,6162,17,4.15
ROAD,467,625,65,1.111,70,3416,12,3.47
ROAD,633,919,40,2.574,6,48230,12,2.5
ROAD,543,625,23,2.399,83,18744,16,1.18
ROAD,489,887,31,1.101,93,36963,19,4.24
ROAD,614,379,35,1.095,59,44010,19,2.72
ROAD,665,521,3,2.73,90,12934,2,3.15
ROAD,664,379,21,2.694,68,17125,17,3.39
ROAD,690,245,72,1.988,22,30785,7,3.99
ROAD,48,221,1,3.214,56,28088,3,2.74
ROAD,245,649,23,2.532,83,27896,1,4.8
ROAD,569,543,43,4.021,75,16654,16,2.02
ROAD,384,985,78,3.788,33,44565,10,4.8
ROAD,106,290,11,0.673,68,20315,2,1.98
ROAD,723,397,88,2.683,49,30942,3,3.93
ROAD,990,726,72,0.849,11,2770,4,3.05
ROAD,352,132,9,3.594,78,24794,6,2.67
ROAD,179,734,17,1.67,23,41858,14,2.73
ROAD,102,868,51,2.256,50,40169,17,1.39
ROAD,219,328,25,2.281,74,12605,15,2.37
ROAD,810,775,50,3.734,16,31899,12,4.37
ROAD,611,389,64,0.241,70,23542,4,1.59
ROAD,5,608,42,0.21,88,11719,15,4.93
ROAD,173,503,70,1.585,27,12045,16,1.08
ROAD,838,408,78,0.518,33,48192,5,1.31
ROAD,301,341,79,1.636,78,15136,6,4.09
ROAD,510,626,61,1.8,79,20363,8,3.23
ROAD,382,58,48,4.182,67,29028,8,1.69
ROAD,996,779,31,1.245,22,27423,7,4.58
ROAD,252,962,20,0.96,36,3535,5,3.93
ROAD,821,456,24,3.021,70,29075,2,1.6
ROAD,40,476,21,1.147,22,17511,6,4.89
ROAD,554,634,45,1.724,43,7193,11,1
ROAD,278,442,75,1.983,9,12088,15,4.02
ROAD,569,103,7,4.204,93,32941,5,1.37
ROAD,26,318,11,3.434,57,47940,7,3.76
ROAD,1,879,85,4.282,22,15606,11,2.29
ROAD,614,117,76,2.365,22,46697,4,1.11
ROAD,696,967,65,1.232,60,1025,15,4.66
ROAD,840,518,17,1.33,87,7078,3,1.59
ROAD,568,476,53,0.677,84,39162,8,1.61
ROAD,129,200,72,1.176,73,26961,7,1.26
ROAD,930,155,88,0.981,100,11370,6,3.95
ROAD,204,286,26,0.995,74,8317,12,4.84
ROAD,276,263,62,1.978,66,41831,8,4.48
ROAD,371,488,4,1.843,43,28500,16,3.18
ROAD,549,371,73,1.951,83,4718,14,2.39
ROAD,926,330,59,1.927,58,10033,6,2.54
ROAD,572,488,18,0.446,92,6287,1,1.6
ROAD,112,827,90,1.174,64,33251,13,1.61
ROAD,980,927,32,4.225,58,28976,15,1.67
ROAD,114,901,15,2.432,25,39695,7,4.93
ROAD,36,443,89,2.42,89,28566,16,4.57
ROAD,627,692,68,0.59,89,22499,12,3.4
ROAD,489,926,22,0.885,49,7025,11,3.81
ROAD,913,698,10,4.369,8,22714,13,3.76
ROAD,302,709,39,0.797,15,42940,5,4.27
ROAD,113,578,15,2.364,100,45835,1,3.13
ROAD,825,333,84,1.516,13,23754,7,2.36
ROAD,353,793,10,3.089,71,20923,16,3.48
ROAD,355,106,47,3.19,62,49500,14,3.43
ROAD,474,183,35,0.376,45,44076,5,2.95
ROAD,201,226,36,4.468,55,26330,16,3.9
ROAD,628,980,85,0.541,69,5222,15,4
ROAD,277,890,49,1.205,38,27309,15,3.41
ROAD,795,285,43,1.015,45,35503,15,3.9
ROAD,150,168,57,1.565,41,35548,5,1.07
ROAD,499,189,48,0.542,54,23467,1,1.29
ROAD,314,367,51,1.888,62,17815,10,3.74
ROAD,580,819,1,1.114,92,38960,3,3.33
ROAD,92,328,14,3.488,45,819,10,4.7
ROAD,622,176,15,3.068,93,8392,18,2.58
ROAD,364,401,20,2.785,44,25862,19,2.93
ROAD,125,363,89,2.749,85,21878,15,2.18
ROAD,231,649,1,3.047,94,7408,14,1.47
ROAD,412,2,48,4.094,85,17610,6,2.73
ROAD,465,62,25,3.384,49,20271,14,1.23
ROAD,188,897,4,1.908,72,23064,1,2.91
ROAD,634,869,54,2.119,50,41637,7,3.23
ROAD,49,448,21,1.397,58,42946,17,1.35
ROAD,905,502,52,1.492,56,16178,12,4.21
ROAD,179,513,55,2.14,60,45722,6,1.03
ROAD,692,474,64,4.133,46,7777,3,1.36
ROAD,425,376,24,1.201,100,839,14,2.21
ROAD,214,571,13,0.241,27,27301,17,1.87
ROAD,213,72,48,3.184,30,47950,15,1.44
ROAD,439,521,17,4.093,75,34738,15,4.98
ROAD,320,482,31,0.667,19,44872,8,1.81
ROAD,127,666,31,3.402,87,19014,3,2.91
ROAD,835,451,20,2.108,76,34678,1,3.57
ROAD,297,311,83,0.375,57,26909,8,3.03
ROAD,818,944,73,0.644,1,3126,9,4.54
ROAD,824,577,47,1.769,26,1716,16,1.99
ROAD,157,930,6,1.724,34,28133,9,3.13
ROAD,174,52,5,1.486,34,3751,15,4.54
ROAD,378,341,85,2.984,77,22900,12,4.88
ROAD,229,587,90,0.562,22,34448,12,2.47
ROAD,890,508,17,3.345,8,556,3,1.76
ROAD,751,721,35,4.108,10,5185,18,2.45
ROAD,464,878,16,1.019,13,10414,9,1.06
ROAD,78,700,84,4.084,10,31992,4,1.37
ROAD,413,777,20,3.228,3,28764,17,2.44
ROAD,802,409,78,3.961,28,3784,11,3
ROAD,486,41,16,0.529,37,32200,14,3.59
ROAD,114,173,14,0.838,31,49091,3,1.71
ROAD,102,698,1,2.471,73,34426,13,1.67
ROAD,319,915,27,2.104,6,13248,11,4.26
ROAD,638,747,15,2.206,40,30295,17,4.69
ROAD,391,705,65,1.163,18,31657,16,4.49
ROAD,692,128,57,4.442,20,42311,5,4.93
ROAD,502,124,34,3.646,90,26170,6,4.61
ROAD,168,840,65,0.496,59,31994,6,2.53
ROAD,776,639,80,1.305,55,29898,11,2.09
ROAD,171,97,41,1.867,86,34296,6,2.75
ROAD,128,93,30,0.499,37,15539,3,4.48
ROAD,216,594,84,0.404,20,32536,8,2.22
ROAD,25,620,69,3.989,97,29551,15,2.29
ROAD,698,11,55,3.499,85,41636,18,3.24
ROAD,365,873,57,2.708,29,16657,5,3.37
ROAD,181,124,62,3.654,18,41325,10,4.03
ROAD,842,128,56,1.006,83,12278,8,2.26
ROAD,127,588,65,0.382,85,41035,12,2.43
ROAD,822,924,79,4.057,29,4280,18,2.96
ROAD,624,260,68,1.321,40,4069,9,3.18
ROAD,274,355,67,3.873,47,18146,19,2.44
ROAD,190,629,73,0.823,48,16196,12,2.22
ROAD,922,871,31,3.584,74,30312,3,3.13
ROAD,89,837,61,2.118,53,15073,16,4.95
ROAD,806,279,34,4.041,29,37050,13,4.92
ROAD,826,780,31,4.013,41,28464,4,1.32
ROAD,552,244,35,0.202,74,19681,2,1.14
ROAD,331,316,78,1.918,38,42989,9,2.1
ROAD,107,20,38,1.809,0,10686,6,4.78
ROAD,943,437,51,4.203,37,27475,16,1.57
ROAD,844,351,58,0.697,46,5288,19,4.12
ROAD,15,33,57,0.732,65,44123,12,3.53
ROAD,334,373,24,3.339,71,31909,13,1.83
ROAD,146,343,54,1.334,62,4148,19,3.31
ROAD,622,466,44,1.275,71,40352,4,3.18
ROAD,258,150,84,3.746,53,41934,4,4.48
ROAD,674,624,83,0.249,64,48967,6,4.07
ROAD,312,333,51,0.269,93,27915,14,3.47
ROAD,330,595,16,1.538,70,38055,13,2.42
ROAD,398,455,35,0.766,95,14741,11,2.17
ROAD,87,693,16,2.361,81,48014,10,1.06
ROAD,293,51,87,0.869,54,23024,10,1.87
ROAD,487,429,65,1.91,38,9954,7,3.08
ROAD,685,588,27,0.274,30,43334,7,1.79
ROAD,877,415,10,4.423,8,43364,17,2.55
ROAD,249,51,2,2.299,57,34937,5,2.02
ROAD,833,775,30,2.889,51,21492,17,4.37
ROAD,683,863,61,3.849,22,27253,13,1.64
ROAD,389,785,51,4.022,96,7968,2,1.83
ROAD,195,767,43,1.401,42,9083,7,1.6
ROAD,566,919,83,3.609,24,20914,4,1.95
ROAD,676,557,82,2.102,27,13956,14,1.25
ROAD,637,685,39,3.475,32,36062,1,1.57
ROAD,499,648,51,0.923,43,16198,3,2.72
ROAD,510,182,2,3.102,24,35249,18,4.03
ROAD,567,446,56,4.241,9,35435,1,1.03
ROAD,953,221,56,0.683,40,9933,9,2.05
ROAD,313,574,9,3.328,70,16713,9,4.92
ROAD,937,762,83,2.318,85,49812,10,2.44
ROAD,549,367,34,3.567,89,21611,4,3.96
ROAD,576,273,84,2.831,3,36652,10,1
ROAD,168,412,17,1.002,49,37571,11,1.88
ROAD,853,527,15,2.997,74,13420,1,1.56
ROAD,911,455,83,3.036,92,8007,3,2.86
ROAD,68,966,33,3.781,64,39261,7,4.87
ROAD,48,373,46,2.57,61,41494,18,4.43
ROAD,645,66,2,4.017,66,1054,4,3.4
ROAD,577,869,6,1.44,54,1759,20,3.24
ROAD,342,938,63,1.543,87,41908,16,4.14
ROAD,846,528,2,4.246,80,41485,6,3.44
ROAD,326,848,63,1.866,31,12260,8,4.01
ROAD,600,514,52,2.041,80,17193,19,2.81
ROAD,690,313,3,1.797,11,14729,19,3.73
ROAD,588,922,74,2.35,71,7403,18,4.26
ROAD,189,252,19,3.809,89,12112,1,3.66
ROAD,546,81,44,2.235,75,15973,4,3.93
ROAD,482,237,90,2.676,61,40506,12,2.21
ROAD,427,210,19,1.793,34,29366,4,2
ROAD,165,106,56,2.885,34,17622,7,3.5
ROAD,594,612,57,2.877,76,28156,8,3.62
ROAD,788,52,85,1.763,68,15005,17,3.76
ROAD,524,453,34,3.287,22,45894,15,4.45
ROAD,570,188,39,1.609,97,41488,19,1.37
ROAD,297,535,22,2.783,71,46116,17,3.4
ROAD,354,405,2,2.983,3,25478,5,2.23
ROAD,238,199,44,2.311,39,43713,17,3.57
ROAD,427,496,16,1.023,58,3500,17,4.47
ROAD,959,801,79,0.454,42,11296,20,3.43
ROAD,225,517,42,3.139,45,25802,6,2.67
ROAD,403,751,68,4.007,52,44101,8,2.7
ROAD,395,613,51,0.902,43,8119,3,2.25
ROAD,265,384,71,3.758,81,32671,15,3.13
ROAD,629,346,1,3.536,48,37145,17,3.67
ROAD,228,447,12,3.391,90,28304,14,1.46
ROAD,152,165,90,3.918,90,28045,8,4.37
ROAD,455,2,36,0.377,57,12594,19,2.92
ROAD,451,199,86,4.111,40,1721,4,1.75
ROAD,390,55,70,1.879,36,45744,11,2.1
ROAD,898,296,83,4.48,89,48108,15,3.31
ROAD,205,931,47,2.023,48,37339,19,3.31
ROAD,390,577,85,0.638,100,38359,6,2.46
ROAD,99,167,41,4.469,85,43507,11,3.71
ROAD,636,697,48,2.208,53,21720,18,2.64
ROAD,628,427,40,2.722,4,22959,16,3.29
ROAD,280,982,17,3.047,84,36703,3,1.17
ROAD,697,181,35,2.515,1,9109,14,1.47
ROAD,633,34,36,2.247,98,29724,2,3.59
ROAD,547,517,67,3.959,4,49523,14,1.56
ROAD,793,312,15,1.507,21,6707,6,1.03
ROAD,751,260,77,1.404,0,33042,8,4.4
ROAD,676,574,52,3.55,14,45566,1,4.12
ROAD,684,993,68,0.841,39,15048,6,1.73
ROAD,290,66,11,1.686,15,21243,4,1.99
ROAD,578,323,66,1.44,27,29569,17,3.74
ROAD,585,765,3,1.316,0,40881,2,4.2
ROAD,457,53,7,2.031,22,46147,16,3.25
ROAD,693,285,36,3.621,9,19545,15,2.56
ROAD,115,735,7,0.768,71,29921,2,3.33
ROAD,122,386,89,1.58,69,3268,20,3.49
ROAD,659,364,58,3.652,42,3734,16,4.17
ROAD,393,334,4,2.085,22,25049,9,2.14
ROAD,788,547,29,2.582,41,11136,10,1.16
ROAD,100,421,43,2.656,80,38599,12,3.97
ROAD,528,269,22,1.295,51,10573,4,3.12
ROAD,970,96,51,4.329,52,29279,5,4.01
ROAD,266,396,52,0.527,60,38859,18,3.22
ROAD,751,274,4,4.342,64,9179,19,1.24
ROAD,550,581,19,0.583,74,43251,16,3.23
ROAD,523,517,31,4.107,20,36804,1,4.9
ROAD,242,539,5,4.473,25,40981,9,2.52
ROAD,90,134,37,1.845,57,28745,7,4.05
ROAD,992,986,23,2.214,33,49103,9,2.49
ROAD,253,895,9,3.7,32,47531,19,3.37
ROAD,578,407,55,2.327,19,34770,10,2.35
ROAD,648,635,26,3.266,32,9763,10,2.53
ROAD,165,775,63,0.967,79,2471,12,2.51
ROAD,190,972,43,4.298,92,42064,7,4.63
ROAD,601,52,88,3.477,36,46605,17,4.6
ROAD,584,714,54,3.328,11,11702,5,2.95
ROAD,200,376,8,2.912,99,46741,19,3.51
ROAD,226,318,24,0.224,71,2519,6,4.19
ROAD,764,283,2,2.946,35,8191,15,4.27
ROAD,744,794,36,2.116,97,39522,7,3.2
ROAD,277,647,9,2.892,10,19322,7,1.02
ROAD,497,80,86,3.05,61,35921,10,4.4
ROAD,722,238,12,1.838,41,7546,2,1.34
ROAD,820,371,80,0.448,3,21953,5,4.38
ROAD,19,238,69,2.647,5,35006,7,2.87
ROAD,786,283,21,3.903,45,49693,5,2.14
ROAD,843,397,65,1.813,53,13609,9,3.03
ROAD,182,228,17,1.085,94,12625,1,2.66
ROAD,277,64,12,2.616,9,44442,9,2.56
ROAD,259,96,89,1.44,27,18659,1,3.46
ROAD,665,434,60,4.319,50,31211,14,3.26
ROAD,58,38,30,3.917,40,35774,14,1.11
ROAD,688,842,64,4.485,90,8864,2,2.54
ROAD,476,741,89,2.95,49,9152,19,4.17
ROAD,781,240,67,2.659,58,892,8,2.46
ROAD,32,429,13,1.414,24,11223,13,1.76
ROAD,293,273,5,0.694,9,32105,3,1.84
ROAD,6,267,87,4.161,14,35056,3,3.46
ROAD,835,131,20,3.835,53,38851,9,1.91
ROAD,776,839,34,1.393,48,12518,6,4.43
ROAD,652,148,21,1.175,71,7511,8,4.85
ROAD,779,523,25,3.37,64,13634,7,1.35
ROAD,507,489,70,1.675,2,9229,1,3.03
ROAD,708,326,9,3.891,92,43177,3,3.37
ROAD,668,472,30,1.637,77,19313,20,3.14
ROAD,934,309,9,2.441,60,43366,17,2.03
ROAD,335,74,69,1.133,90,8059,19,2.7
ROAD,659,595,15,2.008,56,37710,11,3.34
ROAD,225,352,88,0.657,36,40321,9,4.74
ROAD,457,434,43,4.392,48,17628,2,2.54
ROAD,868,49,28,2.422,98,24421,11,4.46
ROAD,946,969,35,1.777,35,32125,1,1.52
ROAD,766,360,76,4.087,52,21266,9,2.96
ROAD,160,651,19,2.715,82,45351,14,4.09
ROAD,925,135,24,4.378,54,35330,12,4.28
ROAD,356,748,69,2.213,67,49791,14,2.93
ROAD,937,427,24,1.987,86,46731,7,4.15
ROAD,30,275,22,0.329,58,48477,16,3.44
ROAD,664,657,83,0.365,87,27651,18,4
ROAD,317,276,33,1.348,29,21655,1,4.95
ROAD,394,705,18,2.785,48,39336,11,4.32
ROAD,50,845,29,2.859,44,36627,2,2.44
ROAD,854,201,18,2.726,47,5753,7,3.23
ROAD,846,650,21,1.192,87,24365,9,3.35
ROAD,876,861,25,3.459,86,42249,13,3.94
ROAD,947,927,25,4.124,51,13556,1,3.01
ROAD,179,65,49,1.336,10,45958,17,1.2
ROAD,341,686,27,1.89,90,37825,4,1.93
ROAD,42,469,37,0.438,90,21391,5,4.22
ROAD,563,910,45,1.626,99,12384,9,4.41
ROAD,233,49,42,1.3,46,48190,9,3.86
ROAD,168,480,77,1.45,56,22000,19,4.52
ROAD,268,593,38,4.252,20,19061,10,1.73
ROAD,633,518,7,3.446,92,20615,20,3.61
ROAD,976,978,68,2.94,38,19676,5,3.1
ROAD,267,322,57,1.946,72,36018,11,2.73
ROAD,747,703,50,3.1,79,40049,17,1.24
ROAD,358,569,26,1.908,71,36880,11,1.46
ROAD,823,817,29,3.1,7,47385,3,3.59
ROAD,333,473,23,1.725,27,33979,6,3.52
ROAD,439,67,43,1.86,88,17012,6,1.15
ROAD,32,214,33,1.663,43,13681,11,1.47
ROAD,880,786,24,1.705,93,39591,3,4.08
ROAD,147,311,90,1.02,70,11562,17,2.67
ROAD,372,598,2,1.467,46,23882,17,3.94
ROAD,376,401,58,1.928,2,20831,12,4.41
ROAD,378,408,34,3.435,59,21939,3,4.89
ROAD,684,607,1,3.025,84,7880,15,4.92
ROAD,704,520,88,1.851,90,46146,19,3.62
ROAD,387,220,63,2.366,1,36619,2,3.89
ROAD,124,604,43,1.495,18,623,18,2.07
ROAD,935,617,81,0.703,24,8820,18,4.74
ROAD,938,697,8,1.995,97,7868,3,2.8
ROAD,427,81,85,1.398,89,46361,2,1.46
ROAD,774,589,60,3.328,14,26475,7,2.5
ROAD,466,378,37,2.43,23,37860,5,1.23
ROAD,933,710,86,3.771,55,9414,1,4
ROAD,156,654,64,1.778,2,18727,15,4.55
ROAD,54,181,60,4.207,78,9858,10,4.11
ROAD,361,517,87,0.682,50,26677,14,2.59
