command,u,v,cost,benefit,extra
EDGE,640,162,4477,27.6,
EDGE,506,926,12569,11.08,
EDGE,597,173,10776,3.19,
EDGE,559,67,7202,12.03,
EDGE,447,344,6055,50.28,
EDGE,42,746,10057,5.93,
EDGE,874,144,2965,22.99,
EDGE,488,676,7077,1.29,
EDGE,220,732,3571,9.94,
EDGE,960,159,7491,26.56,
EDGE,999,142,3068,34.46,
EDGE,27,0,11713,98.6,
EDGE,528,291,3585,70.3,
EDGE,930,517,4558,91.3,
EDGE,610,536,17929,89.64,
EDGE,537,19,2316,42.37,
EDGE,685,531,7427,60.18,
EDGE,787,266,25911,7.17,
EDGE,497,736,9425,62.28,
EDGE,348,970,11155,46.65,
EDGE,838,726,18366,7.89,
EDGE,921,772,5055,26.75,
EDGE,60,963,11241,82.75,
EDGE,371,137,5355,94.17,
EDGE,358,304,4823,65.49,
EDGE,180,204,4856,84.79,
EDGE,565,120,10667,88.67,
EDGE,557,373,6043,88.99,
EDGE,916,734,12743,76.15,
EDGE,969,819,10240,36.73,
EDGE,221,864,23099,87.9,
EDGE,703,127,4187,34.64,
EDGE,305,226,15932,78.07,
EDGE,845,302,12080,20.05,
EDGE,618,809,14069,39.27,
EDGE,723,753,11088,16.9,
EDGE,220,131,14403,43.29,
EDGE,101,243,13104,48.14,
EDGE,410,982,13813,51.22,
EDGE,986,687,7409,87.2,
EDGE,157,859,8432,67.4,
EDGE,208,272,15372,96.97,
EDGE,651,552,14214,80.44,
EDGE,143,568,5344,97.84,
EDGE,195,290,5182,57.36,
EDGE,903,156,16034,50.27,
EDGE,695,198,9022,79.16,
EDGE,55,991,17471,45.93,
EDGE,784,435,8901,58.44,
EDGE,503,301,8651,34.01,
EDGE,403,924,5724,59.92,
EDGE,208,979,19370,2.94,
EDGE,335,611,12183,39.17,
EDGE,692,721,9869,20.09,
EDGE,45,602,5436,5.8,
EDGE,177,537,11840,3.82,
EDGE,701,898,13535,38.56,
EDGE,51,533,17845,42.35,
EDGE,847,992,7461,98.32,
EDGE,715,45,19179,53.43,
EDGE,663,755,16384,33.13,
EDGE,224,588,13749,3.72,
EDGE,576,162,4342,33.13,
EDGE,806,220,6046,72.49,
EDGE,552,593,8300,26.21,
EDGE,306,903,12950,65.96,
EDGE,128,370,12405,89.26,
EDGE,790,958,522,72.13,
EDGE,39,906,10260,36.95,
EDGE,535,115,10744,50.13,
EDGE,309,942,11356,96.54,
EDGE,40,255,8427,3.16,
EDGE,844,69,13543,61.17,
EDGE,302,698,16370,32.45,
EDGE,555,321,15642,6.25,
EDGE,645,50,9512,85.47,
EDGE,753,130,4642,82.69,
EDGE,796,109,5180,84.23,
EDGE,51,296,8543,40.91,
EDGE,155,334,15143,64.44,
EDGE,657,134,9938,71.29,
EDGE,556,692,14839,37.43,
EDGE,377,752,18739,89.55,
EDGE,274,68,12132,34.71,
EDGE,89,725,15548,92.69,
EDGE,588,132,8694,5.14,
EDGE,664,489,13797,15.41,
EDGE,241,411,8658,73.64,
EDGE,561,151,4518,93.01,
EDGE,900,490,15561,14.88,
EDGE,866,294,15578,57.95,
EDGE,698,376,15465,65.94,
EDGE,581,651,11341,26.02,
EDGE,570,856,11221,13.71,
EDGE,822,573,10016,94.14,
EDGE,371,452,13221,84.83,
EDGE,275,491,6848,51.14,
EDGE,272,910,6101,15.12,
EDGE,938,416,16825,56.96,
EDGE,117,685,8193,2.48,
EDGE,743,49,17132,15.09,
EDGE,988,107,12490,68.47,
EDGE,709,629,21988,11.16,
EDGE,950,183,11071,78.37,
EDGE,170,335,11845,60.42,
EDGE,702,725,15860,78.92,
EDGE,957,103,9027,81.97,
EDGE,383,607,12014,97.76,
EDGE,326,23,15127,55.11,
EDGE,570,779,9254,64.63,
EDGE,249,58,1874,87.42,
EDGE,972,576,7088,31.54,
EDGE,94,12,7463,84.31,
EDGE,477,926,7666,80.37,
EDGE,80,607,14190,90.93,
EDGE,288,885,11439,89.21,
EDGE,565,832,3121,95.72,
EDGE,384,630,10518,33.0,
EDGE,177,64,11363,91.51,
EDGE,61,733,15711,3.25,
EDGE,575,650,7320,33.48,
EDGE,315,672,5871,16.22,
EDGE,668,278,1477,16.52,
EDGE,461,140,12207,48.5,
EDGE,686,209,8860,28.98,
EDGE,172,130,14978,75.93,
EDGE,138,153,6546,52.15,
EDGE,284,183,11516,92.07,
EDGE,792,141,9959,80.47,
EDGE,290,904,10733,40.28,
EDGE,445,323,21025,71.03,
EDGE,229,264,19017,9.95,
EDGE,786,304,12587,56.27,
EDGE,630,756,13585,78.79,
EDGE,155,449,9223,42.37,
EDGE,18,786,2111,19.56,
EDGE,624,778,10481,71.31,
EDGE,345,511,8257,69.22,
EDGE,738,518,16674,27.96,
EDGE,134,451,14479,66.17,
EDGE,307,492,10400,87.13,
EDGE,327,379,4944,77.19,
EDGE,764,420,12362,84.23,
EDGE,259,516,4359,23.94,
EDGE,381,443,13635,86.8,
EDGE,482,730,10803,81.23,
EDGE,182,352,12078,5.8,
EDGE,418,901,10753,99.87,
EDGE,416,620,5281,74.33,
EDGE,920,824,11113,2.73,
EDGE,912,773,16782,27.46,
EDGE,331,432,17757,37.14,
EDGE,26,602,5077,86.35,
EDGE,708,705,7184,75.76,
EDGE,834,877,8105,36.48,
EDGE,353,937,6266,29.2,
EDGE,980,300,16690,89.24,
EDGE,93,944,6279,46.32,
EDGE,564,821,11082,77.53,
EDGE,105,913,10899,75.0,
EDGE,743,839,15964,68.39,
EDGE,782,124,17051,61.22,
EDGE,460,618,10424,16.05,
EDGE,875,666,10326,12.24,
EDGE,490,455,7259,24.52,
EDGE,774,920,17011,39.35,
EDGE,959,178,9971,27.47,
EDGE,445,113,15121,78.83,
EDGE,287,931,18013,65.36,
EDGE,125,491,11369,68.36,
EDGE,932,402,9349,4.74,
EDGE,724,207,6863,78.85,
EDGE,925,392,6819,92.97,
EDGE,591,614,5566,58.07,
EDGE,939,527,7286,48.99,
EDGE,63,85,22511,98.9,
EDGE,150,429,9795,50.83,
EDGE,523,748,18695,61.43,
EDGE,941,605,9452,19.75,
EDGE,845,181,11785,38.65,
EDGE,854,642,17464,16.86,
EDGE,869,277,10724,6.97,
EDGE,931,974,1463,58.53,
EDGE,808,781,9037,45.92,
EDGE,227,537,7856,74.86,
EDGE,148,317,9207,48.18,
EDGE,466,780,5035,17.36,
EDGE,901,480,2680,75.19,
EDGE,74,339,6420,95.71,
EDGE,901,710,14527,53.31,
EDGE,764,817,3102,12.88,
EDGE,964,419,17059,67.8,
EDGE,895,896,14722,93.09,
EDGE,396,261,6913,69.08,
EDGE,506,697,11287,79.49,
EDGE,457,408,16022,21.64,
EDGE,566,175,10563,95.05,
EDGE,976,294,20037,68.77,
EDGE,974,739,10093,8.18,
EDGE,719,883,4884,7.53,
EDGE,624,647,8674,77.93,
EDGE,96,413,20118,62.39,
EDGE,627,217,10656,51.08,
EDGE,824,58,9037,79.82,
EDGE,412,336,4877,81.65,
EDGE,513,280,22826,49.66,
EDGE,867,947,13205,66.24,
EDGE,652,664,19709,12.8,
EDGE,429,927,14007,58.71,
EDGE,420,189,2328,17.4,
EDGE,523,275,4523,86.93,
EDGE,74,186,14934,96.38,
EDGE,522,111,10095,44.03,
EDGE,146,640,14970,24.1,
EDGE,597,567,11418,95.77,
EDGE,857,822,4066,41.13,
EDGE,230,335,11620,93.15,
EDGE,272,473,14590,30.83,
EDGE,541,2,5425,71.61,
EDGE,975,833,10129,69.76,
EDGE,209,868,10071,18.86,
EDGE,529,771,12695,19.82,
EDGE,88,594,10131,75.94,
EDGE,392,374,5050,22.83,
EDGE,263,303,5005,6.23,
EDGE,478,183,17385,64.43,
EDGE,110,265,4408,98.43,
EDGE,334,736,14765,43.29,
EDGE,366,481,6932,76.43,
EDGE,386,195,15782,24.06,
EDGE,545,322,5481,78.9,
EDGE,890,45,10047,2.84,
EDGE,132,136,4801,41.61,
EDGE,525,430,8230,8.46,
EDGE,903,18,10389,90.71,
EDGE,424,33,13173,64.1,
EDGE,394,739,1974,93.59,
EDGE,336,164,7329,53.58,
EDGE,639,425,17816,90.02,
EDGE,788,48,17037,24.97,
EDGE,535,454,16852,64.31,
EDGE,17,77,8364,30.49,
EDGE,41,918,10589,23.24,
EDGE,482,38,15914,94.35,
EDGE,661,539,17010,98.28,
EDGE,657,211,10938,42.0,
EDGE,505,273,11114,40.36,
EDGE,159,556,6896,81.34,
EDGE,146,589,13555,67.78,
EDGE,76,922,4585,25.26,
EDGE,682,628,14046,75.14,
EDGE,859,202,15043,35.24,
EDGE,353,340,15981,11.27,
EDGE,127,926,8384,53.42,
EDGE,15,745,10367,91.27,
EDGE,45,80,7500,80.56,
EDGE,287,606,11484,18.87,
EDGE,585,244,4823,7.91,
EDGE,887,489,5577,25.29,
EDGE,108,262,9694,33.33,
EDGE,881,751,2952,82.63,
EDGE,683,858,5541,1.74,
EDGE,682,224,9210,84.61,
EDGE,498,680,12414,88.46,
EDGE,789,978,7942,58.22,
EDGE,729,630,9391,28.65,
EDGE,526,973,6412,18.6,
EDGE,460,633,11124,56.24,
EDGE,316,238,17247,1.61,
EDGE,228,895,23708,10.42,
EDGE,205,602,19565,35.31,
EDGE,466,378,8173,15.42,
EDGE,72,983,4405,96.09,
EDGE,870,137,15828,99.98,
EDGE,254,541,1218,64.47,
EDGE,770,138,8810,62.03,
EDGE,560,213,8681,5.58,
EDGE,128,268,6284,72.06,
EDGE,173,345,9289,50.97,
EDGE,103,787,8245,26.33,
EDGE,988,990,11134,79.41,
EDGE,125,362,10166,97.94,
EDGE,106,234,12706,33.16,
EDGE,76,914,8069,84.76,
EDGE,507,961,17431,71.21,
EDGE,458,834,5426,22.03,
EDGE,575,679,2776,88.53,
EDGE,722,619,709,45.88,
EDGE,800,478,6882,56.42,
EDGE,911,255,11192,87.35,
EDGE,235,371,10332,27.2,
EDGE,559,349,16122,10.47,
EDGE,39,504,8418,78.9,
EDGE,99,21,10582,5.2,
EDGE,490,961,12639,8.14,
EDGE,394,986,16811,23.91,
EDGE,397,3,8843,95.08,
EDGE,829,537,5750,53.91,
EDGE,702,232,11803,69.0,
EDGE,213,854,2645,65.7,
EDGE,103,303,10850,3.62,
EDGE,195,13,18683,70.56,
EDGE,252,331,7148,2.45,
EDGE,643,325,7652,60.4,
EDGE,927,265,12348,39.69,
EDGE,425,541,375,13.62,
EDGE,923,57,9760,29.41,
EDGE,643,368,10166,34.97,
EDGE,438,682,4107,45.59,
EDGE,635,178,15627,78.85,
EDGE,83,761,15106,83.25,
EDGE,145,312,3495,70.98,
EDGE,476,566,11060,98.57,
EDGE,0,36,5431,18.91,
EDGE,71,692,14196,73.88,
EDGE,460,346,6861,44.56,
EDGE,432,535,6173,83.09,
EDGE,205,362,21596,32.15,
EDGE,97,583,19162,15.79,
EDGE,370,626,6719,51.07,
EDGE,114,64,2847,59.58,
EDGE,885,858,5866,1.93,
EDGE,457,317,6625,37.0,
EDGE,703,642,13825,94.77,
EDGE,960,680,11654,79.43,
EDGE,479,981,13934,93.08,
EDGE,937,64,2355,13.32,
EDGE,407,153,10325,29.68,
EDGE,964,109,5534,39.24,
EDGE,751,980,14218,81.04,
EDGE,51,557,10185,30.58,
EDGE,643,656,557,19.9,
EDGE,825,379,15147,36.53,
EDGE,314,286,8232,98.75,
EDGE,556,215,14793,33.36,
EDGE,830,580,17048,50.2,
EDGE,277,989,11182,52.07,
EDGE,881,596,13083,31.28,
EDGE,252,527,5605,51.31,
EDGE,61,130,12267,8.56,
EDGE,750,926,8107,98.64,
EDGE,594,596,10557,22.94,
EDGE,824,754,4318,5.02,
EDGE,485,869,17381,83.7,
EDGE,16,721,16940,36.76,
EDGE,321,788,4402,37.21,
EDGE,858,326,14733,68.06,
EDGE,255,502,12553,42.63,
EDGE,681,447,11794,51.16,
EDGE,191,583,3716,88.22,
EDGE,381,149,16678,62.33,
EDGE,56,688,6606,55.76,
EDGE,714,269,7362,7.1,
EDGE,716,581,8681,59.16,
EDGE,414,822,8124,12.21,
EDGE,684,570,13195,64.39,
EDGE,326,517,5139,49.92,
EDGE,483,500,17384,26.85,
EDGE,404,991,7140,62.62,
EDGE,775,221,16285,39.13,
EDGE,794,694,10970,11.26,
EDGE,233,333,8990,35.68,
EDGE,895,510,11302,24.83,
EDGE,20,196,8868,62.86,
EDGE,712,358,18580,41.53,
EDGE,69,901,6298,32.02,
EDGE,340,944,15725,7.94,
EDGE,175,483,17431,25.75,
EDGE,665,695,10018,92.34,
EDGE,483,778,4172,76.93,
EDGE,75,483,16678,27.04,
EDGE,978,422,6706,20.0,
EDGE,627,735,7532,98.78,
EDGE,463,807,9162,46.98,
EDGE,799,870,6054,4.53,
EDGE,574,635,5407,68.31,
EDGE,892,698,13108,99.47,
EDGE,431,354,14075,43.13,
EDGE,73,451,9145,60.76,
EDGE,975,659,13508,44.19,
EDGE,745,706,6458,28.08,
EDGE,118,797,13993,95.43,
EDGE,237,235,7508,98.4,
EDGE,405,538,3563,27.66,
EDGE,631,308,13450,18.87,
EDGE,39,976,11022,46.78,
EDGE,622,848,8789,44.88,
EDGE,539,871,8402,17.19,
EDGE,972,338,8600,74.87,
EDGE,101,840,6338,50.82,
EDGE,158,91,7819,47.93,
EDGE,594,364,12611,2.59,
EDGE,305,906,9325,94.33,
EDGE,454,585,3527,42.57,
EDGE,877,397,6284,64.99,
EDGE,776,702,11811,27.07,
EDGE,751,423,17086,92.65,
EDGE,423,390,20191,60.64,
EDGE,974,157,15826,76.79,
EDGE,5,720,19722,73.43,
EDGE,80,521,12546,12.84,
EDGE,772,397,16438,11.86,
EDGE,190,780,14059,31.71,
EDGE,521,765,8961,65.88,
EDGE,400,434,9767,19.92,
EDGE,396,302,10467,63.62,
EDGE,885,617,17481,57.95,
EDGE,385,620,16100,63.31,
EDGE,918,910,12445,19.77,
EDGE,97,688,5202,59.83,
EDGE,50,187,3934,99.29,
EDGE,739,962,11367,58.26,
EDGE,904,214,3069,86.55,
EDGE,177,609,15012,14.12,
EDGE,17,894,11798,34.21,
EDGE,336,977,7888,39.54,
EDGE,885,984,12322,60.97,
EDGE,674,826,12056,96.58,
EDGE,526,662,11710,35.13,
EDGE,404,685,12038,29.81,
EDGE,187,930,10948,4.63,
EDGE,908,334,4977,88.33,
EDGE,80,771,19477,6.68,
EDGE,724,764,8563,61.68,
EDGE,191,599,9090,62.91,
EDGE,113,917,11822,71.29,
EDGE,104,443,6634,87.28,
EDGE,152,241,15783,26.05,
EDGE,478,324,3047,44.08,
EDGE,135,208,17057,59.34,
EDGE,64,508,9994,40.11,
EDGE,686,946,9082,63.43,
EDGE,476,8,4609,70.14,
EDGE,992,318,16782,53.56,
EDGE,428,682,15071,18.44,
EDGE,953,131,5356,75.25,
EDGE,622,845,18588,70.2,
EDGE,329,688,13687,91.6,
EDGE,440,939,6070,38.71,
EDGE,807,135,4385,97.45,
EDGE,957,198,16101,27.32,
EDGE,762,211,16946,90.91,
EDGE,13,600,8821,75.96,
EDGE,204,910,10748,9.26,
EDGE,777,460,4748,5.73,
EDGE,149,332,4271,31.2,
EDGE,264,307,13511,84.54,
EDGE,942,929,8619,92.27,
EDGE,346,657,16661,32.49,
EDGE,199,51,12335,52.49,
EDGE,777,782,9664,68.16,
EDGE,614,372,14396,37.9,
EDGE,919,985,17477,87.03,
EDGE,93,457,8270,65.32,
EDGE,781,643,9056,38.18,
EDGE,669,261,12704,11.91,
EDGE,796,134,6676,37.15,
EDGE,752,72,3286,9.36,
EDGE,219,253,17754,52.01,
EDGE,372,433,14641,48.41,
EDGE,524,663,8754,79.95,
EDGE,6,403,8093,10.36,
EDGE,371,113,7356,52.7,
EDGE,689,376,9986,3.08,
EDGE,467,674,4830,32.83,
EDGE,661,160,10841,33.66,
EDGE,829,361,8722,95.48,
EDGE,624,376,4293,79.83,
EDGE,876,324,3378,63.32,
EDGE,337,298,7455,18.74,
EDGE,325,315,15466,88.68,
EDGE,883,431,6864,68.39,
EDGE,636,136,8143,70.63,
EDGE,129,141,6016,24.36,
EDGE,132,310,15182,43.41,
EDGE,51,287,19416,67.81,
EDGE,725,476,10532,21.76,
EDGE,463,249,10738,33.78,
EDGE,979,790,8150,32.67,
EDGE,296,733,7550,8.81,
EDGE,480,859,13669,53.17,
EDGE,923,984,8797,26.26,
EDGE,392,745,8795,90.88,
EDGE,454,121,1581,57.9,
EDGE,193,785,3065,76.11,
EDGE,943,231,15023,31.34,
EDGE,545,48,22301,95.54,
EDGE,560,630,5007,64.44,
EDGE,810,601,15367,58.78,
EDGE,549,286,5052,94.11,
EDGE,206,687,6047,3.89,
EDGE,678,373,10962,82.31,
EDGE,901,253,19931,29.99,
EDGE,86,845,11284,20.29,
EDGE,236,878,6512,53.5,
EDGE,915,189,17399,21.01,
EDGE,552,337,8989,19.73,
EDGE,865,428,6655,48.14,
EDGE,660,282,5454,32.17,
EDGE,873,502,5811,17.44,
EDGE,743,194,9149,83.27,
EDGE,50,141,4120,96.89,
EDGE,989,453,20790,98.52,
EDGE,791,675,13350,29.94,
EDGE,578,930,9279,22.5,
EDGE,705,58,6919,79.41,
EDGE,38,434,5725,35.99,
EDGE,721,673,6473,50.63,
EDGE,24,167,8860,55.16,
EDGE,486,759,7588,62.92,
EDGE,420,735,15106,35.67,
EDGE,640,261,17633,80.95,
EDGE,652,215,10742,29.26,
EDGE,804,220,10540,83.33,
EDGE,610,982,11976,53.66,
EDGE,771,473,4274,24.83,
EDGE,559,233,13303,84.29,
EDGE,600,111,15698,31.18,
EDGE,324,980,1648,29.2,
EDGE,890,465,18576,2.89,
EDGE,667,29,8377,94.5,
EDGE,328,911,10442,39.36,
EDGE,680,534,6821,30.86,
EDGE,38,725,10070,43.61,
EDGE,51,403,4517,96.69,
EDGE,996,801,4170,20.8,
EDGE,467,838,8747,90.31,
EDGE,270,530,12690,88.1,
EDGE,599,682,12965,32.22,
EDGE,564,582,9412,37.88,
EDGE,98,792,14683,39.62,
EDGE,805,315,9453,66.75,
EDGE,983,969,10369,3.5,
EDGE,242,668,3121,56.91,
EDGE,710,567,8220,12.53,
EDGE,228,751,11488,12.09,
EDGE,458,498,16193,8.18,
EDGE,883,366,3613,3.11,
EDGE,666,344,10839,69.49,
EDGE,316,698,21493,14.06,
EDGE,562,323,8980,69.39,
EDGE,3,457,8343,54.99,
EDGE,438,943,8832,77.94,
EDGE,359,768,7856,48.53,
EDGE,660,743,1172,5.27,
EDGE,710,837,12612,25.8,
EDGE,405,560,7404,83.5,
EDGE,992,644,4773,49.0,
EDGE,262,562,9456,65.86,
EDGE,201,811,14148,1.98,
EDGE,199,9,5694,64.58,
EDGE,382,687,11204,27.29,
EDGE,383,846,9792,28.4,
EDGE,339,689,12883,18.18,
EDGE,271,765,5270,90.92,
EDGE,885,769,6577,72.95,
EDGE,935,813,3867,71.09,
EDGE,314,796,4500,67.43,
EDGE,459,872,9948,29.53,
EDGE,182,512,7739,38.57,
EDGE,999,598,7303,3.69,
EDGE,177,126,17375,16.16,
EDGE,963,361,19096,44.22,
EDGE,76,728,11059,70.4,
EDGE,393,629,11392,60.9,
EDGE,22,170,10551,54.19,
EDGE,902,473,15080,33.35,
EDGE,484,602,16503,29.2,
EDGE,514,467,15048,61.4,
EDGE,858,52,3452,13.52,
EDGE,267,732,15813,93.21,
EDGE,177,628,15879,18.63,
EDGE,88,971,15339,63.64,
EDGE,434,631,5738,18.16,
EDGE,538,297,12867,43.35,
EDGE,940,846,13227,47.33,
EDGE,288,927,14782,95.91,
EDGE,989,573,7183,87.01,
EDGE,528,51,13163,92.72,
EDGE,675,767,10669,22.62,
EDGE,986,703,6129,95.91,
EDGE,624,883,100,1.38,
EDGE,827,509,15635,68.06,
EDGE,396,998,3757,13.68,
EDGE,885,769,8657,29.08,
EDGE,344,595,13168,52.56,
EDGE,941,821,5341,63.24,
EDGE,397,488,11301,47.48,
EDGE,242,819,3275,88.46,
EDGE,344,412,12163,35.68,
EDGE,195,129,2135,4.08,
EDGE,130,840,2795,38.84,
EDGE,324,613,9379,41.36,
EDGE,532,420,11773,62.19,
EDGE,264,536,16504,77.65,
EDGE,271,413,11104,44.81,
EDGE,62,420,7505,16.48,
EDGE,685,417,9845,17.14,
EDGE,603,669,11270,7.73,
EDGE,53,920,2065,91.01,
EDGE,288,513,5362,48.54,
EDGE,462,313,11518,94.9,
EDGE,835,801,5058,59.12,
EDGE,29,941,4419,16.2,
EDGE,578,969,3588,83.23,
EDGE,610,298,18251,28.32,
EDGE,336,415,7482,10.23,
EDGE,399,489,13884,63.9,
EDGE,565,820,5779,22.87,
EDGE,353,539,11786,97.61,
EDGE,510,551,5139,60.16,
EDGE,175,589,12593,95.76,
EDGE,641,828,12962,50.64,
EDGE,862,511,6270,88.77,
EDGE,351,52,21895,74.11,
EDGE,490,639,10120,88.99,
EDGE,277,623,9337,23.27,
EDGE,983,779,14637,10.49,
EDGE,166,54,10703,22.95,
EDGE,842,337,5356,96.44,
EDGE,896,472,15618,62.25,
EDGE,425,280,6128,20.19,
EDGE,678,458,2156,83.8,
EDGE,16,767,15280,65.68,
EDGE,449,304,9000,28.72,
EDGE,625,999,11350,46.32,
EDGE,379,8,3951,26.97,
EDGE,496,787,15115,14.6,
EDGE,77,864,4323,59.06,
EDGE,934,108,2830,72.23,
EDGE,821,151,15208,97.63,
EDGE,880,389,14868,81.42,
EDGE,44,43,12916,16.09,
EDGE,388,490,13914,52.92,
EDGE,65,673,17054,54.48,
EDGE,635,791,16120,86.47,
EDGE,547,912,4478,38.43,
EDGE,765,344,4827,58.55,
EDGE,959,213,12120,45.96,
EDGE,67,684,2109,28.58,
EDGE,198,990,5539,95.86,
EDGE,843,407,2717,98.66,
EDGE,994,15,5992,33.21,
EDGE,926,695,13576,16.89,
EDGE,344,408,8479,80.49,
EDGE,9,376,3856,61.1,
EDGE,280,243,5798,73.2,
EDGE,82,799,14775,31.07,
EDGE,271,135,9956,68.43,
EDGE,224,910,19856,42.48,
EDGE,638,205,19947,59.71,
EDGE,52,669,5049,41.75,
EDGE,310,112,13455,34.24,
EDGE,440,318,12076,16.73,
EDGE,134,34,15666,29.79,
EDGE,921,167,4184,21.9,
EDGE,87,119,13022,49.99,
EDGE,632,551,8221,46.1,
EDGE,274,568,4071,40.24,
EDGE,133,249,22244,71.86,
EDGE,356,550,10970,95.23,
EDGE,734,169,11370,56.1,
EDGE,345,0,15305,87.51,
EDGE,534,732,5672,94.8,
EDGE,434,685,8359,14.84,
EDGE,481,292,10090,83.32,
EDGE,162,416,9631,37.95,
EDGE,230,986,3798,21.11,
EDGE,427,930,6786,5.64,
EDGE,925,350,8930,73.29,
EDGE,433,95,8083,75.55,
EDGE,882,311,13534,31.19,
EDGE,617,623,10525,98.4,
EDGE,724,619,13744,45.5,
EDGE,358,327,16615,42.66,
EDGE,666,743,8875,77.24,
EDGE,907,419,3896,16.6,
EDGE,114,480,4585,93.49,
EDGE,929,770,13400,59.49,
EDGE,405,820,8008,2.2,
EDGE,539,613,19245,80.97,
EDGE,164,7,11653,74.91,
EDGE,746,174,5908,72.33,
EDGE,376,192,9820,50.32,
EDGE,63,408,7833,35.35,
EDGE,114,433,5366,14.42,
EDGE,141,184,10961,28.49,
EDGE,923,578,4119,54.72,
EDGE,198,147,15931,76.97,
EDGE,214,38,7226,54.7,
EDGE,185,470,18293,41.87,
EDGE,153,99,6124,56.85,
EDGE,637,887,1260,98.61,
EDGE,131,293,15089,99.8,
EDGE,196,651,14311,51.58,
EDGE,694,559,15198,19.74,
EDGE,783,629,8058,81.88,
EDGE,834,990,12035,1.0,
EDGE,586,58,15492,66.53,
EDGE,419,443,10427,21.33,
EDGE,339,756,13935,79.05,
EDGE,14,535,15158,63.39,
EDGE,359,314,15958,99.7,
EDGE,41,539,11867,32.12,
EDGE,994,986,8581,24.42,
EDGE,570,580,2739,94.82,
EDGE,243,379,10790,54.61,
EDGE,399,166,19542,4.86,
EDGE,501,583,10484,35.67,
EDGE,3,262,10459,27.81,
EDGE,366,127,7427,49.87,
EDGE,99,2,6921,2.99,
EDGE,860,684,8617,82.32,
EDGE,110,83,9194,32.14,
EDGE,750,816,3601,65.36,
EDGE,569,508,3507,39.45,
EDGE,135,0,10732,62.73,
EDGE,397,869,12608,69.63,
EDGE,790,262,17699,18.48,
EDGE,600,142,7071,72.32,
EDGE,623,325,3138,7.14,
EDGE,818,111,9058,49.94,
EDGE,37,952,9702,29.84,
EDGE,794,685,5514,11.25,
EDGE,846,436,12718,53.81,
EDGE,56,480,8141,43.63,
EDGE,746,88,2915,81.29,
EDGE,664,906,12598,72.25,
EDGE,570,902,2791,82.84,
EDGE,876,221,10420,43.99,
EDGE,909,570,10362,63.42,
EDGE,641,952,14873,63.07,
EDGE,551,914,3962,10.04,
EDGE,92,346,11928,62.03,
EDGE,460,278,6032,74.1,
EDGE,896,992,17108,33.76,
EDGE,775,909,13451,59.82,
EDGE,788,77,11866,58.14,
EDGE,727,105,4377,67.08,
EDGE,837,295,18867,7.73,
EDGE,84,168,4362,12.19,
EDGE,977,604,7564,26.56,
EDGE,748,655,14637,17.54,
EDGE,2,665,15889,68.06,
EDGE,464,560,11063,84.0,
EDGE,141,355,13594,96.15,
EDGE,447,978,11499,58.36,
EDGE,730,460,9464,90.38,
EDGE,193,558,11150,87.6,
EDGE,87,190,6369,1.63,
EDGE,825,878,8482,50.0,
EDGE,485,353,8415,64.09,
EDGE,112,652,7587,43.31,
EDGE,994,765,14560,43.9,
EDGE,291,130,10030,34.83,
EDGE,204,45,16428,97.56,
EDGE,582,913,163,30.08,
EDGE,291,14,18462,57.6,
EDGE,247,336,11494,1.58,
EDGE,105,888,7196,62.51,
EDGE,543,511,10794,71.37,
EDGE,967,47,8225,98.13,
EDGE,938,647,6298,56.74,
EDGE,234,220,2860,72.08,
EDGE,879,836,12388,69.3,
EDGE,769,266,12814,96.98,
EDGE,482,114,9857,65.61,
EDGE,142,147,15377,78.29,
EDGE,326,182,13434,66.44,
EDGE,773,539,5959,49.34,
EDGE,436,569,17348,52.32,
EDGE,411,617,13527,44.79,
EDGE,919,766,10541,43.0,
EDGE,863,993,5118,53.51,
EDGE,978,157,7973,1.91,
EDGE,739,955,8252,7.8,
EDGE,884,363,14278,50.61,
EDGE,165,723,17300,12.45,
EDGE,868,447,16868,93.86,
EDGE,937,562,12521,56.63,
EDGE,737,266,13558,67.89,
EDGE,172,507,10414,5.36,
EDGE,109,962,5504,4.81,
EDGE,978,677,15032,43.99,
EDGE,23,27,3898,42.87,
EDGE,837,755,17592,61.92,
EDGE,314,702,5563,31.46,
EDGE,58,644,13505,87.25,
EDGE,373,695,2778,40.86,
EDGE,825,7,10501,10.32,
EDGE,647,442,8461,33.87,
EDGE,914,796,10904,98.25,
EDGE,571,849,7477,25.91,
EDGE,282,415,16278,28.1,
EDGE,553,767,6139,55.39,
EDGE,234,162,14557,71.91,
EDGE,774,930,2145,64.56,
EDGE,856,407,16012,23.66,
EDGE,586,396,20826,53.36,
EDGE,113,639,13226,37.61,
EDGE,326,702,14748,97.72,
EDGE,221,412,4172,80.35,
EDGE,551,533,888,58.58,
EDGE,85,43,23792,98.34,
EDGE,184,727,9988,53.79,
EDGE,651,94,12288,20.11,
EDGE,601,519,13333,73.0,
EDGE,998,557,6031,70.55,
EDGE,38,62,11533,12.07,
EDGE,857,221,7707,49.47,
EDGE,68,104,9647,7.7,
EDGE,75,112,15808,29.11,
EDGE,13,173,8922,4.7,
EDGE,79,738,8007,9.24,
EDGE,794,24,3233,8.94,
EDGE,279,932,9079,14.05,
EDGE,503,122,17729,12.1,
EDGE,803,119,16013,9.63,
EDGE,970,278,15616,4.91,
EDGE,16,459,8265,11.27,
EDGE,228,92,10640,97.65,
EDGE,978,197,1739,67.94,
EDGE,748,490,8053,7.79,
