command,u,v,transport_cost,line_capacity,item_id,source_x,source_y,mass,energy_density,pickup_cost,digester_id,time_slot,timeslot_capacity,extra
EDGE,397,371,361.62,193,,,,,,,,,,
EDGE,235,93,287.91,113,,,,,,,,,,
EDGE,328,81,112.78,150,,,,,,,,,,
EDGE,449,154,270.34,90,,,,,,,,,,
EDGE,125,318,167.43,87,,,,,,,,,,
EDGE,375,322,126.3,54,,,,,,,,,,
EDGE,372,270,489.05,72,,,,,,,,,,
EDGE,364,265,278.15,132,,,,,,,,,,
EDGE,166,199,434.02,180,,,,,,,,,,
EDGE,50,281,345.55,117,,,,,,,,,,
EDGE,396,208,430.76,64,,,,,,,,,,
EDGE,388,402,427.47,117,,,,,,,,,,
EDGE,399,472,11.7,184,,,,,,,,,,
EDGE,143,344,332.62,135,,,,,,,,,,
EDGE,399,23,412.14,57,,,,,,,,,,
EDGE,347,184,423.42,181,,,,,,,,,,
EDGE,132,124,169.99,93,,,,,,,,,,
EDGE,377,29,476.45,166,,,,,,,,,,
EDGE,408,417,171.72,133,,,,,,,,,,
EDGE,292,370,274.1,137,,,,,,,,,,
EDGE,241,299,343.88,198,,,,,,,,,,
EDGE,77,349,77.17,98,,,,,,,,,,
EDGE,292,353,78.41,159,,,,,,,,,,
EDGE,441,216,78.44,89,,,,,,,,,,
EDGE,54,119,368.26,199,,,,,,,,,,
EDGE,320,62,241.25,187,,,,,,,,,,
EDGE,442,195,109.14,70,,,,,,,,,,
EDGE,222,340,68.08,122,,,,,,,,,,
EDGE,402,258,473.15,73,,,,,,,,,,
EDGE,405,248,68.68,63,,,,,,,,,,
EDGE,163,85,84.92,60,,,,,,,,,,
EDGE,164,366,476.2,164,,,,,,,,,,
EDGE,9,431,206.14,63,,,,,,,,,,
EDGE,197,382,91.77,58,,,,,,,,,,
EDGE,384,359,216.9,135,,,,,,,,,,
EDGE,390,474,124.04,56,,,,,,,,,,
EDGE,274,55,408.02,96,,,,,,,,,,
EDGE,176,99,250.87,109,,,,,,,,,,
EDGE,233,108,282.78,96,,,,,,,,,,
EDGE,478,107,164.68,77,,,,,,,,,,
EDGE,244,148,73.37,79,,,,,,,,,,
EDGE,376,334,482.17,176,,,,,,,,,,
EDGE,120,257,148.1,166,,,,,,,,,,
EDGE,333,110,92.71,161,,,,,,,,,,
EDGE,131,89,40.78,141,,,,,,,,,,
EDGE,418,205,278.7,58,,,,,,,,,,
EDGE,294,279,24.68,114,,,,,,,,,,
EDGE,248,387,387.93,112,,,,,,,,,,
EDGE,191,139,431.05,52,,,,,,,,,,
EDGE,403,5,272.25,144,,,,,,,,,,
EDGE,18,70,334.94,193,,,,,,,,,,
EDGE,316,435,442.2,194,,,,,,,,,,
EDGE,287,103,93.25,87,,,,,,,,,,
EDGE,61,486,391.77,95,,,,,,,,,,
EDGE,336,493,477.18,126,,,,,,,,,,
EDGE,208,384,436.9,84,,,,,,,,,,
EDGE,273,210,412.09,158,,,,,,,,,,
EDGE,474,98,43.43,152,,,,,,,,,,
EDGE,173,422,329.77,166,,,,,,,,,,
EDGE,205,252,374.79,94,,,,,,,,,,
EDGE,428,178,22.72,159,,,,,,,,,,
EDGE,137,260,70.12,188,,,,,,,,,,
EDGE,467,120,53.56,159,,,,,,,,,,
EDGE,375,80,340.04,78,,,,,,,,,,
EDGE,332,240,214.55,176,,,,,,,,,,
EDGE,238,109,232.87,194,,,,,,,,,,
EDGE,65,375,19.22,72,,,,,,,,,,
EDGE,99,350,376.06,192,,,,,,,,,,
EDGE,318,456,202.78,109,,,,,,,,,,
EDGE,74,358,281.89,173,,,,,,,,,,
EDGE,137,213,315.9,70,,,,,,,,,,
EDGE,222,153,198.54,94,,,,,,,,,,
EDGE,65,491,105.8,149,,,,,,,,,,
EDGE,69,73,165.65,53,,,,,,,,,,
EDGE,78,351,332.05,158,,,,,,,,,,
EDGE,43,248,292.91,193,,,,,,,,,,
EDGE,200,178,220.55,137,,,,,,,,,,
EDGE,395,24,232.02,63,,,,,,,,,,
EDGE,340,231,274.54,148,,,,,,,,,,
EDGE,273,133,75.95,121,,,,,,,,,,
EDGE,256,310,310.76,183,,,,,,,,,,
EDGE,159,290,412.26,76,,,,,,,,,,
EDGE,260,483,416.72,67,,,,,,,,,,
EDGE,41,371,192.0,62,,,,,,,,,,
EDGE,415,43,122.82,154,,,,,,,,,,
EDGE,77,247,352.15,82,,,,,,,,,,
EDGE,33,139,136.4,167,,,,,,,,,,
EDGE,239,471,309.07,170,,,,,,,,,,
EDGE,160,244,277.41,135,,,,,,,,,,
EDGE,445,303,293.85,91,,,,,,,,,,
EDGE,338,56,411.21,172,,,,,,,,,,
EDGE,62,443,498.27,116,,,,,,,,,,
EDGE,204,113,112.89,146,,,,,,,,,,
EDGE,305,278,197.21,154,,,,,,,,,,
EDGE,306,42,265.87,149,,,,,,,,,,
EDGE,368,325,43.31,194,,,,,,,,,,
EDGE,448,21,237.11,56,,,,,,,,,,
EDGE,155,204,280.55,60,,,,,,,,,,
EDGE,12,321,141.82,137,,,,,,,,,,
EDGE,271,406,127.06,131,,,,,,,,,,
EDGE,133,311,438.82,88,,,,,,,,,,
EDGE,330,297,314.92,81,,,,,,,,,,
EDGE,368,153,161.57,179,,,,,,,,,,
EDGE,424,211,389.04,178,,,,,,,,,,
EDGE,152,85,466.28,187,,,,,,,,,,
EDGE,273,92,489.6,177,,,,,,,,,,
EDGE,42,43,489.9,139,,,,,,,,,,
EDGE,73,316,261.25,132,,,,,,,,,,
EDGE,85,212,210.72,98,,,,,,,,,,
EDGE,95,353,35.25,186,,,,,,,,,,
EDGE,21,20,362.63,92,,,,,,,,,,
EDGE,281,230,460.05,157,,,,,,,,,,
EDGE,367,470,95.47,54,,,,,,,,,,
EDGE,184,298,105.11,163,,,,,,,,,,
EDGE,394,196,293.28,172,,,,,,,,,,
EDGE,294,229,165.35,161,,,,,,,,,,
EDGE,479,264,390.74,124,,,,,,,,,,
EDGE,252,341,57.5,170,,,,,,,,,,
EDGE,356,25,435.98,164,,,,,,,,,,
EDGE,187,31,475.0,176,,,,,,,,,,
EDGE,102,93,48.76,99,,,,,,,,,,
EDGE,94,43,367.3,56,,,,,,,,,,
EDGE,436,484,390.52,122,,,,,,,,,,
EDGE,281,481,474.39,200,,,,,,,,,,
EDGE,51,492,300.79,114,,,,,,,,,,
EDGE,207,298,305.76,76,,,,,,,,,,
EDGE,423,226,30.06,200,,,,,,,,,,
EDGE,372,286,256.47,118,,,,,,,,,,
EDGE,495,219,463.07,57,,,,,,,,,,
EDGE,56,443,105.96,198,,,,,,,,,,
EDGE,141,177,376.25,117,,,,,,,,,,
EDGE,407,388,205.96,127,,,,,,,,,,
EDGE,496,476,40.49,75,,,,,,,,,,
EDGE,144,279,222.82,55,,,,,,,,,,
EDGE,292,242,149.95,54,,,,,,,,,,
EDGE,276,110,399.94,103,,,,,,,,,,
EDGE,15,323,435.56,89,,,,,,,,,,
EDGE,234,60,412.84,159,,,,,,,,,,
EDGE,336,206,226.03,120,,,,,,,,,,
EDGE,174,393,134.86,99,,,,,,,,,,
EDGE,60,127,479.68,199,,,,,,,,,,
EDGE,158,434,326.15,151,,,,,,,,,,
EDGE,263,276,201.28,185,,,,,,,,,,
EDGE,419,421,195.32,130,,,,,,,,,,
EDGE,4,456,432.57,112,,,,,,,,,,
EDGE,294,77,211.97,108,,,,,,,,,,
EDGE,388,352,156.94,200,,,,,,,,,,
EDGE,305,216,431.49,66,,,,,,,,,,
EDGE,399,251,433.2,73,,,,,,,,,,
EDGE,140,130,146.98,74,,,,,,,,,,
EDGE,83,368,269.7,198,,,,,,,,,,
EDGE,319,123,124.65,174,,,,,,,,,,
EDGE,464,100,30.06,117,,,,,,,,,,
EDGE,321,486,44.35,52,,,,,,,,,,
EDGE,91,415,339.72,128,,,,,,,,,,
EDGE,364,201,146.22,182,,,,,,,,,,
EDGE,423,134,494.24,154,,,,,,,,,,
EDGE,58,108,264.65,153,,,,,,,,,,
EDGE,55,98,476.77,65,,,,,,,,,,
EDGE,495,250,454.05,153,,,,,,,,,,
EDGE,274,184,230.62,79,,,,,,,,,,
EDGE,428,194,408.45,102,,,,,,,,,,
EDGE,456,479,210.09,170,,,,,,,,,,
EDGE,28,482,396.57,144,,,,,,,,,,
EDGE,279,117,316.59,200,,,,,,,,,,
EDGE,392,450,28.8,117,,,,,,,,,,
EDGE,434,205,197.66,110,,,,,,,,,,
EDGE,248,59,86.24,153,,,,,,,,,,
EDGE,429,386,167.62,170,,,,,,,,,,
EDGE,495,68,257.41,168,,,,,,,,,,
EDGE,114,499,430.01,93,,,,,,,,,,
EDGE,230,361,31.65,51,,,,,,,,,,
EDGE,150,86,193.11,58,,,,,,,,,,
EDGE,78,69,101.32,97,,,,,,,,,,
EDGE,151,250,255.82,174,,,,,,,,,,
EDGE,204,433,271.94,193,,,,,,,,,,
EDGE,238,162,219.26,68,,,,,,,,,,
EDGE,209,340,183.19,147,,,,,,,,,,
EDGE,80,453,404.29,158,,,,,,,,,,
EDGE,233,48,155.38,156,,,,,,,,,,
EDGE,90,341,30.32,84,,,,,,,,,,
EDGE,274,132,317.93,72,,,,,,,,,,
EDGE,304,263,472.98,127,,,,,,,,,,
EDGE,166,458,348.61,95,,,,,,,,,,
EDGE,374,317,292.81,149,,,,,,,,,,
EDGE,322,431,81.46,126,,,,,,,,,,
EDGE,291,115,372.44,164,,,,,,,,,,
EDGE,364,108,112.58,160,,,,,,,,,,
EDGE,410,312,315.88,118,,,,,,,,,,
EDGE,330,338,181.57,110,,,,,,,,,,
EDGE,445,299,156.91,173,,,,,,,,,,
EDGE,467,468,119.57,170,,,,,,,,,,
EDGE,189,424,323.57,73,,,,,,,,,,
EDGE,375,473,131.78,63,,,,,,,,,,
EDGE,201,214,283.39,85,,,,,,,,,,
EDGE,257,207,260.72,130,,,,,,,,,,
EDGE,364,320,495.21,93,,,,,,,,,,
EDGE,15,40,254.1,181,,,,,,,,,,
EDGE,322,365,231.29,58,,,,,,,,,,
EDGE,499,350,145.5,190,,,,,,,,,,
EDGE,144,287,97.94,178,,,,,,,,,,
EDGE,29,323,498.49,138,,,,,,,,,,
EDGE,120,69,365.92,168,,,,,,,,,,
EDGE,40,251,230.41,196,,,,,,,,,,
EDGE,155,13,383.76,102,,,,,,,,,,
EDGE,308,209,463.43,127,,,,,,,,,,
EDGE,464,466,386.46,138,,,,,,,,,,
EDGE,100,299,272.76,146,,,,,,,,,,
EDGE,193,133,312.16,195,,,,,,,,,,
EDGE,448,342,170.34,68,,,,,,,,,,
EDGE,234,489,106.88,176,,,,,,,,,,
EDGE,134,237,430.91,152,,,,,,,,,,
EDGE,13,432,349.27,138,,,,,,,,,,
EDGE,181,423,253.43,91,,,,,,,,,,
EDGE,316,414,450.42,99,,,,,,,,,,
EDGE,177,60,453.7,128,,,,,,,,,,
EDGE,33,371,362.17,171,,,,,,,,,,
EDGE,77,425,432.68,168,,,,,,,,,,
EDGE,58,37,34.67,141,,,,,,,,,,
EDGE,75,353,361.7,91,,,,,,,,,,
EDGE,114,429,412.52,188,,,,,,,,,,
EDGE,395,89,222.48,132,,,,,,,,,,
EDGE,75,441,296.64,174,,,,,,,,,,
EDGE,364,20,127.15,93,,,,,,,,,,
EDGE,406,236,445.61,178,,,,,,,,,,
EDGE,169,492,198.46,129,,,,,,,,,,
EDGE,438,386,347.79,89,,,,,,,,,,
EDGE,442,217,38.25,167,,,,,,,,,,
EDGE,212,305,430.35,105,,,,,,,,,,
EDGE,441,343,464.49,194,,,,,,,,,,
EDGE,57,416,314.41,154,,,,,,,,,,
EDGE,183,175,102.83,146,,,,,,,,,,
EDGE,282,2,152.56,109,,,,,,,,,,
EDGE,354,400,64.6,94,,,,,,,,,,
EDGE,228,62,337.38,169,,,,,,,,,,
EDGE,22,30,81.61,198,,,,,,,,,,
EDGE,413,301,387.59,139,,,,,,,,,,
EDGE,486,465,233.16,111,,,,,,,,,,
EDGE,210,298,113.93,70,,,,,,,,,,
EDGE,241,97,367.13,133,,,,,,,,,,
EDGE,166,80,443.84,59,,,,,,,,,,
EDGE,331,255,35.87,197,,,,,,,,,,
EDGE,134,415,177.89,200,,,,,,,,,,
EDGE,241,138,321.48,190,,,,,,,,,,
EDGE,472,384,12.89,108,,,,,,,,,,
EDGE,455,321,228.33,137,,,,,,,,,,
EDGE,193,89,291.76,144,,,,,,,,,,
EDGE,81,95,150.61,156,,,,,,,,,,
EDGE,7,114,264.88,185,,,,,,,,,,
EDGE,310,168,442.99,173,,,,,,,,,,
EDGE,369,11,376.53,136,,,,,,,,,,
EDGE,143,270,479.4,170,,,,,,,,,,
EDGE,286,393,38.05,90,,,,,,,,,,
EDGE,35,441,495.75,104,,,,,,,,,,
EDGE,366,365,172.72,127,,,,,,,,,,
EDGE,88,156,45.79,199,,,,,,,,,,
EDGE,146,186,216.84,98,,,,,,,,,,
EDGE,258,193,400.74,190,,,,,,,,,,
EDGE,98,172,373.57,86,,,,,,,,,,
EDGE,165,200,205.57,105,,,,,,,,,,
EDGE,479,470,144.54,115,,,,,,,,,,
EDGE,406,173,191.41,165,,,,,,,,,,
EDGE,476,302,237.33,79,,,,,,,,,,
EDGE,282,53,52.79,136,,,,,,,,,,
EDGE,304,236,189.82,90,,,,,,,,,,
EDGE,382,145,209.26,135,,,,,,,,,,
EDGE,268,132,54.4,147,,,,,,,,,,
EDGE,237,213,309.35,109,,,,,,,,,,
EDGE,498,338,123.74,163,,,,,,,,,,
EDGE,454,122,453.93,160,,,,,,,,,,
EDGE,429,454,273.47,82,,,,,,,,,,
EDGE,341,337,88.28,51,,,,,,,,,,
EDGE,95,245,189.85,81,,,,,,,,,,
EDGE,466,492,429.8,101,,,,,,,,,,
EDGE,325,37,130.85,75,,,,,,,,,,
EDGE,466,228,148.88,164,,,,,,,,,,
EDGE,341,255,76.42,105,,,,,,,,,,
EDGE,446,98,198.73,106,,,,,,,,,,
EDGE,395,257,372.24,136,,,,,,,,,,
EDGE,99,135,355.28,98,,,,,,,,,,
EDGE,199,388,63.78,157,,,,,,,,,,
EDGE,435,472,491.54,110,,,,,,,,,,
EDGE,490,368,457.59,175,,,,,,,,,,
EDGE,206,92,268.06,52,,,,,,,,,,
EDGE,389,115,54.3,100,,,,,,,,,,
EDGE,65,438,475.26,88,,,,,,,,,,
EDGE,233,324,226.96,131,,,,,,,,,,
EDGE,75,339,224.5,139,,,,,,,,,,
EDGE,90,238,479.94,74,,,,,,,,,,
EDGE,216,317,230.21,64,,,,,,,,,,
EDGE,66,68,97.33,82,,,,,,,,,,
EDGE,201,136,387.52,194,,,,,,,,,,
EDGE,354,78,442.58,60,,,,,,,,,,
EDGE,147,223,470.41,75,,,,,,,,,,
EDGE,202,33,195.14,139,,,,,,,,,,
EDGE,237,204,428.28,84,,,,,,,,,,
EDGE,203,21,379.74,175,,,,,,,,,,
EDGE,89,269,347.56,192,,,,,,,,,,
EDGE,145,448,429.57,197,,,,,,,,,,
EDGE,216,367,404.77,121,,,,,,,,,,
EDGE,205,147,39.64,143,,,,,,,,,,
EDGE,234,231,27.3,96,,,,,,,,,,
EDGE,483,406,290.15,87,,,,,,,,,,
EDGE,108,473,369.65,132,,,,,,,,,,
EDGE,201,130,248.24,122,,,,,,,,,,
EDGE,365,298,274.57,127,,,,,,,,,,
EDGE,186,480,27.54,143,,,,,,,,,,
EDGE,88,100,24.87,79,,,,,,,,,,
EDGE,5,93,86.74,148,,,,,,,,,,
EDGE,438,204,170.89,111,,,,,,,,,,
EDGE,464,26,216.12,95,,,,,,,,,,
EDGE,38,71,385.4,145,,,,,,,,,,
EDGE,134,159,139.61,116,,,,,,,,,,
EDGE,441,174,269.56,59,,,,,,,,,,
EDGE,104,144,270.84,159,,,,,,,,,,
EDGE,425,125,93.14,144,,,,,,,,,,
EDGE,85,30,314.63,135,,,,,,,,,,
EDGE,385,34,165.47,121,,,,,,,,,,
EDGE,136,363,29.33,190,,,,,,,,,,
EDGE,432,216,466.5,64,,,,,,,,,,
EDGE,397,129,478.75,159,,,,,,,,,,
EDGE,219,152,416.72,75,,,,,,,,,,
EDGE,296,226,187.03,61,,,,,,,,,,
EDGE,192,54,398.31,83,,,,,,,,,,
EDGE,357,226,58.09,87,,,,,,,,,,
EDGE,62,167,174.44,79,,,,,,,,,,
EDGE,380,56,345.33,193,,,,,,,,,,
EDGE,281,217,477.04,158,,,,,,,,,,
EDGE,35,486,357.63,65,,,,,,,,,,
EDGE,140,370,253.92,63,,,,,,,,,,
EDGE,441,413,308.13,183,,,,,,,,,,
EDGE,188,260,60.91,182,,,,,,,,,,
EDGE,276,468,273.45,179,,,,,,,,,,
EDGE,334,335,322.25,140,,,,,,,,,,
EDGE,39,119,61.46,101,,,,,,,,,,
EDGE,14,242,429.38,199,,,,,,,,,,
EDGE,388,341,202.09,84,,,,,,,,,,
EDGE,27,70,207.49,196,,,,,,,,,,
EDGE,106,466,367.7,165,,,,,,,,,,
EDGE,355,192,116.71,103,,,,,,,,,,
EDGE,316,33,372.26,112,,,,,,,,,,
EDGE,132,163,320.28,189,,,,,,,,,,
EDGE,117,403,218.01,86,,,,,,,,,,
EDGE,313,395,488.14,95,,,,,,,,,,
EDGE,167,219,452.71,156,,,,,,,,,,
EDGE,243,250,145.61,89,,,,,,,,,,
EDGE,169,356,84.51,157,,,,,,,,,,
EDGE,385,172,255.43,183,,,,,,,,,,
EDGE,441,101,208.92,192,,,,,,,,,,
EDGE,131,148,70.48,111,,,,,,,,,,
EDGE,31,366,214.97,103,,,,,,,,,,
EDGE,92,436,485.2,152,,,,,,,,,,
EDGE,270,1,62.26,63,,,,,,,,,,
EDGE,419,118,327.05,167,,,,,,,,,,
EDGE,454,465,90.17,131,,,,,,,,,,
EDGE,252,32,129.57,143,,,,,,,,,,
EDGE,148,117,226.49,65,,,,,,,,,,
EDGE,405,415,294.47,89,,,,,,,,,,
EDGE,57,402,31.76,149,,,,,,,,,,
EDGE,109,0,213.8,53,,,,,,,,,,
EDGE,102,113,79.78,185,,,,,,,,,,
EDGE,161,461,61.3,88,,,,,,,,,,
EDGE,212,274,439.02,50,,,,,,,,,,
EDGE,0,236,87.44,73,,,,,,,,,,
EDGE,93,116,167.15,196,,,,,,,,,,
EDGE,301,118,332.51,168,,,,,,,,,,
EDGE,35,496,59.87,109,,,,,,,,,,
EDGE,233,256,182.64,97,,,,,,,,,,
EDGE,428,109,451.29,74,,,,,,,,,,
EDGE,404,365,408.71,141,,,,,,,,,,
EDGE,351,179,482.72,141,,,,,,,,,,
EDGE,219,338,339.84,100,,,,,,,,,,
EDGE,26,252,62.2,122,,,,,,,,,,
EDGE,379,235,100.03,174,,,,,,,,,,
EDGE,191,322,445.39,167,,,,,,,,,,
EDGE,351,198,329.91,132,,,,,,,,,,
EDGE,89,218,210.78,92,,,,,,,,,,
EDGE,177,276,329.09,178,,,,,,,,,,
EDGE,172,187,261.86,125,,,,,,,,,,
EDGE,122,424,309.81,188,,,,,,,,,,
EDGE,203,53,95.12,129,,,,,,,,,,
EDGE,19,75,288.61,108,,,,,,,,,,
EDGE,347,389,43.17,131,,,,,,,,,,
EDGE,326,277,50.13,89,,,,,,,,,,
EDGE,190,249,16.48,125,,,,,,,,,,
EDGE,464,29,199.8,50,,,,,,,,,,
EDGE,278,87,375.97,67,,,,,,,,,,
EDGE,68,302,14.52,97,,,,,,,,,,
EDGE,248,140,367.79,145,,,,,,,,,,
EDGE,233,200,89.82,126,,,,,,,,,,
EDGE,123,291,67.14,160,,,,,,,,,,
EDGE,279,400,71.25,131,,,,,,,,,,
EDGE,123,222,35.19,168,,,,,,,,,,
EDGE,50,298,361.02,195,,,,,,,,,,
EDGE,208,203,267.46,95,,,,,,,,,,
EDGE,84,27,22.25,147,,,,,,,,,,
EDGE,272,248,138.59,79,,,,,,,,,,
EDGE,334,90,204.99,104,,,,,,,,,,
EDGE,289,130,84.97,177,,,,,,,,,,
EDGE,381,232,458.52,182,,,,,,,,,,
EDGE,131,97,130.66,125,,,,,,,,,,
EDGE,432,8,26.17,147,,,,,,,,,,
EDGE,409,157,65.95,118,,,,,,,,,,
EDGE,488,422,197.12,158,,,,,,,,,,
EDGE,65,390,245.68,142,,,,,,,,,,
EDGE,22,261,340.56,126,,,,,,,,,,
EDGE,294,214,341.86,58,,,,,,,,,,
EDGE,434,327,94.66,149,,,,,,,,,,
EDGE,222,173,49.05,108,,,,,,,,,,
EDGE,374,18,259.13,159,,,,,,,,,,
EDGE,78,90,319.17,158,,,,,,,,,,
EDGE,261,251,430.46,61,,,,,,,,,,
EDGE,481,241,210.12,95,,,,,,,,,,
EDGE,96,420,322.37,126,,,,,,,,,,
EDGE,466,205,284.95,93,,,,,,,,,,
EDGE,310,255,365.4,117,,,,,,,,,,
EDGE,40,83,199.44,159,,,,,,,,,,
EDGE,280,484,280.61,135,,,,,,,,,,
EDGE,130,343,43.22,71,,,,,,,,,,
EDGE,444,336,433.25,119,,,,,,,,,,
EDGE,114,268,411.81,97,,,,,,,,,,
EDGE,486,191,299.51,71,,,,,,,,,,
EDGE,118,184,293.05,155,,,,,,,,,,
EDGE,421,422,216.86,57,,,,,,,,,,
EDGE,291,435,483.54,60,,,,,,,,,,
EDGE,363,485,122.77,152,,,,,,,,,,
EDGE,323,247,248.25,84,,,,,,,,,,
EDGE,466,392,285.45,99,,,,,,,,,,
EDGE,183,46,108.09,69,,,,,,,,,,
EDGE,480,322,147.99,98,,,,,,,,,,
EDGE,483,118,319.02,198,,,,,,,,,,
EDGE,366,465,388.65,95,,,,,,,,,,
EDGE,349,498,379.39,86,,,,,,,,,,
EDGE,419,122,460.65,172,,,,,,,,,,
EDGE,297,70,465.37,176,,,,,,,,,,
EDGE,28,148,480.22,157,,,,,,,,,,
EDGE,381,197,341.49,188,,,,,,,,,,
EDGE,92,74,492.98,54,,,,,,,,,,
EDGE,145,451,311.12,171,,,,,,,,,,
EDGE,287,241,319.55,136,,,,,,,,,,
EDGE,318,475,154.17,149,,,,,,,,,,
EDGE,89,151,436.22,79,,,,,,,,,,
EDGE,351,436,235.23,71,,,,,,,,,,
EDGE,3,197,387.67,69,,,,,,,,,,
EDGE,491,413,246.53,196,,,,,,,,,,
EDGE,115,26,230.8,123,,,,,,,,,,
EDGE,97,248,162.75,60,,,,,,,,,,
EDGE,267,244,64.53,127,,,,,,,,,,
EDGE,87,256,227.26,143,,,,,,,,,,
EDGE,276,327,245.33,52,,,,,,,,,,
EDGE,260,442,420.33,116,,,,,,,,,,
EDGE,135,470,232.37,110,,,,,,,,,,
EDGE,105,321,24.26,180,,,,,,,,,,
EDGE,459,287,87.53,55,,,,,,,,,,
EDGE,337,96,160.54,178,,,,,,,,,,
EDGE,424,261,247.78,176,,,,,,,,,,
EDGE,130,248,477.86,101,,,,,,,,,,
EDGE,454,337,387.24,192,,,,,,,,,,
EDGE,235,409,173.25,101,,,,,,,,,,
EDGE,29,177,182.92,191,,,,,,,,,,
EDGE,232,283,316.37,179,,,,,,,,,,
EDGE,484,218,338.29,153,,,,,,,,,,
EDGE,62,334,15.82,182,,,,,,,,,,
EDGE,100,144,406.49,160,,,,,,,,,,
EDGE,393,408,372.75,150,,,,,,,,,,
EDGE,367,345,216.33,95,,,,,,,,,,
EDGE,320,439,158.19,187,,,,,,,,,,
EDGE,352,182,474.9,94,,,,,,,,,,
EDGE,204,277,493.9,195,,,,,,,,,,
EDGE,35,32,415.87,94,,,,,,,,,,
EDGE,229,111,369.93,133,,,,,,,,,,
EDGE,207,51,125.37,163,,,,,,,,,,
EDGE,466,239,115.86,190,,,,,,,,,,
EDGE,402,83,426.78,66,,,,,,,,,,
EDGE,73,292,177.51,158,,,,,,,,,,
EDGE,228,455,225.9,94,,,,,,,,,,
EDGE,65,81,447.72,82,,,,,,,,,,
EDGE,442,18,226.83,103,,,,,,,,,,
EDGE,276,294,263.74,173,,,,,,,,,,
EDGE,218,69,235.67,122,,,,,,,,,,
EDGE,40,326,206.1,148,,,,,,,,,,
EDGE,66,7,402.5,61,,,,,,,,,,
EDGE,383,38,498.82,81,,,,,,,,,,
EDGE,291,461,113.9,131,,,,,,,,,,
EDGE,361,279,188.68,63,,,,,,,,,,
EDGE,253,229,168.27,73,,,,,,,,,,
EDGE,309,119,440.18,129,,,,,,,,,,
EDGE,107,272,128.67,198,,,,,,,,,,
EDGE,458,55,10.14,109,,,,,,,,,,
EDGE,294,279,96.33,178,,,,,,,,,,
EDGE,285,65,150.49,73,,,,,,,,,,
EDGE,329,286,110.45,82,,,,,,,,,,
EDGE,294,358,96.19,194,,,,,,,,,,
EDGE,445,143,342.81,192,,,,,,,,,,
EDGE,193,17,443.91,131,,,,,,,,,,
EDGE,80,370,378.51,137,,,,,,,,,,
EDGE,27,375,286.43,64,,,,,,,,,,
EDGE,320,126,122.83,158,,,,,,,,,,
EDGE,162,119,108.91,192,,,,,,,,,,
EDGE,286,117,43.77,98,,,,,,,,,,
EDGE,220,319,90.66,178,,,,,,,,,,
EDGE,484,34,58.37,197,,,,,,,,,,
EDGE,142,91,291.74,114,,,,,,,,,,
EDGE,480,6,396.46,171,,,,,,,,,,
EDGE,45,30,176.56,80,,,,,,,,,,
EDGE,75,223,99.36,78,,,,,,,,,,
EDGE,361,242,448.26,87,,,,,,,,,,
EDGE,453,82,460.41,68,,,,,,,,,,
EDGE,389,393,355.52,121,,,,,,,,,,
EDGE,343,126,185.17,123,,,,,,,,,,
EDGE,74,274,201.31,188,,,,,,,,,,
EDGE,39,478,246.42,151,,,,,,,,,,
EDGE,38,190,270.02,133,,,,,,,,,,
EDGE,249,452,125.27,169,,,,,,,,,,
EDGE,432,285,37.34,139,,,,,,,,,,
EDGE,288,400,144.74,86,,,,,,,,,,
EDGE,400,379,95.8,199,,,,,,,,,,
EDGE,206,185,373.01,163,,,,,,,,,,
EDGE,167,179,215.11,74,,,,,,,,,,
EDGE,235,408,297.54,69,,,,,,,,,,
EDGE,47,222,462.5,140,,,,,,,,,,
EDGE,363,24,138.86,69,,,,,,,,,,
EDGE,64,377,264.52,121,,,,,,,,,,
EDGE,49,431,81.67,65,,,,,,,,,,
EDGE,396,202,204.2,103,,,,,,,,,,
EDGE,34,81,72.25,137,,,,,,,,,,
EDGE,264,355,464.62,156,,,,,,,,,,
EDGE,168,307,242.82,71,,,,,,,,,,
EDGE,199,253,479.19,155,,,,,,,,,,
EDGE,167,470,99.31,172,,,,,,,,,,
EDGE,486,281,252.81,91,,,,,,,,,,
EDGE,311,223,50.74,88,,,,,,,,,,
EDGE,153,157,158.89,86,,,,,,,,,,
EDGE,35,429,388.76,111,,,,,,,,,,
EDGE,18,423,152.38,99,,,,,,,,,,
EDGE,125,350,486.49,75,,,,,,,,,,
EDGE,373,368,434.56,141,,,,,,,,,,
EDGE,37,121,269.83,61,,,,,,,,,,
EDGE,57,479,482.12,116,,,,,,,,,,
EDGE,303,475,326.38,160,,,,,,,,,,
EDGE,66,331,124.73,180,,,,,,,,,,
EDGE,325,199,225.19,177,,,,,,,,,,
EDGE,299,117,72.01,76,,,,,,,,,,
EDGE,323,336,248.06,189,,,,,,,,,,
EDGE,32,224,349.39,169,,,,,,,,,,
EDGE,110,348,311.19,188,,,,,,,,,,
EDGE,365,190,294.3,168,,,,,,,,,,
EDGE,100,29,28.94,57,,,,,,,,,,
EDGE,66,378,104.34,155,,,,,,,,,,
EDGE,214,186,486.61,130,,,,,,,,,,
EDGE,103,385,153.98,100,,,,,,,,,,
EDGE,63,231,283.5,101,,,,,,,,,,
EDGE,28,71,471.84,102,,,,,,,,,,
EDGE,172,338,338.16,172,,,,,,,,,,
EDGE,196,359,342.94,161,,,,,,,,,,
EDGE,377,287,87.52,63,,,,,,,,,,
EDGE,311,423,31.16,118,,,,,,,,,,
