command,u,v,distance,install_cost,capacity,loss_factor,extra
EDGE,506,274,331,1706,2373,21,
EDGE,560,591,134,1169,4025,50,
EDGE,351,915,699,1571,446,2,
EDGE,101,641,803,1723,3814,1,
EDGE,127,951,879,333,3665,29,
EDGE,0,981,439,424,1130,41,
EDGE,309,162,896,1920,2294,5,
EDGE,670,369,257,178,3096,42,
EDGE,925,664,170,116,3296,40,
EDGE,312,743,717,1556,1968,27,
EDGE,671,93,721,204,58,13,
EDGE,488,79,136,1225,1902,33,
EDGE,696,455,10,26,2864,7,
EDGE,880,432,711,280,3963,4,
EDGE,234,392,92,1506,889,6,
EDGE,320,376,903,622,1173,24,
EDGE,792,832,772,1800,1140,41,
EDGE,693,146,71,1096,4664,0,
EDGE,624,665,169,911,2926,46,
EDGE,218,643,767,320,3422,39,
EDGE,703,453,881,454,760,6,
EDGE,143,770,127,1217,3195,22,
EDGE,986,439,323,1630,1195,15,
EDGE,283,660,87,518,4583,38,
EDGE,614,738,623,593,269,42,
EDGE,896,308,211,1070,4224,12,
EDGE,765,401,303,1333,497,50,
EDGE,919,812,978,500,4104,24,
EDGE,115,246,512,1316,4915,4,
EDGE,540,910,13,749,2642,8,
EDGE,396,881,860,1174,3497,23,
EDGE,559,699,177,1572,3908,49,
EDGE,74,17,602,148,162,16,
EDGE,220,40,945,133,3310,32,
EDGE,293,643,730,1036,3453,27,
EDGE,718,411,85,1321,4445,34,
EDGE,630,156,285,181,2588,5,
EDGE,523,943,209,1664,1322,34,
EDGE,334,400,601,1309,591,19,
EDGE,715,447,748,1962,2004,3,
EDGE,250,88,947,899,1000,29,
EDGE,626,623,57,643,1488,7,
EDGE,12,724,141,1446,142,10,
EDGE,508,975,356,1081,4287,50,
EDGE,842,738,266,351,3096,8,
EDGE,767,799,895,560,1017,49,
EDGE,921,30,344,1662,3567,17,
EDGE,536,65,270,1468,4773,40,
EDGE,78,508,467,1056,3000,3,
EDGE,511,879,581,351,3062,10,
EDGE,261,791,106,1841,4751,43,
EDGE,740,118,234,1527,4218,0,
EDGE,45,879,884,35,2053,2,
EDGE,483,372,393,1894,1279,11,
EDGE,953,983,879,82,4579,45,
EDGE,758,671,430,469,2686,15,
EDGE,426,937,738,665,2272,4,
EDGE,585,381,123,1038,481,11,
EDGE,228,823,529,104,3334,4,
EDGE,898,476,887,588,2595,20,
EDGE,88,566,468,26,3072,12,
EDGE,298,577,804,632,2037,29,
EDGE,377,605,996,1020,1650,46,
EDGE,922,559,779,1640,2058,9,
EDGE,6,954,420,58,1958,34,
EDGE,354,651,860,1430,128,21,
EDGE,1,777,674,780,2569,6,
EDGE,210,542,244,869,4080,3,
EDGE,995,145,729,583,812,2,
EDGE,943,237,919,1741,4307,26,
EDGE,717,917,382,948,745,37,
EDGE,97,517,137,1315,3280,4,
EDGE,606,581,64,900,1120,15,
EDGE,298,267,872,655,3269,44,
EDGE,851,753,335,661,3758,17,
EDGE,239,76,967,425,1165,49,
EDGE,788,598,112,328,915,10,
EDGE,460,477,322,842,1039,34,
EDGE,366,987,789,435,3752,19,
EDGE,474,271,873,255,790,10,
EDGE,826,702,312,1702,4992,2,
EDGE,220,855,878,681,1265,5,
EDGE,728,254,992,738,3296,32,
EDGE,50,693,307,542,1474,1,
EDGE,974,414,876,936,4604,47,
EDGE,563,255,97,956,884,50,
EDGE,143,124,13,136,1870,8,
EDGE,202,843,411,772,738,37,
EDGE,600,265,940,1674,664,1,
EDGE,66,202,925,1332,3682,8,
EDGE,94,926,868,1708,2766,7,
EDGE,43,964,473,113,1426,36,
EDGE,443,841,742,818,4114,1,
EDGE,391,699,437,363,2949,13,
EDGE,930,191,282,583,3703,9,
EDGE,35,628,635,1273,2063,41,
EDGE,302,510,422,1817,4561,30,
EDGE,62,89,287,794,1174,26,
EDGE,204,658,906,1642,4357,15,
EDGE,645,821,557,1637,209,24,
EDGE,800,730,368,992,4510,50,
EDGE,496,352,935,1168,4165,20,
EDGE,397,276,185,63,2662,38,
EDGE,224,30,918,1670,2351,3,
EDGE,828,483,543,742,4834,14,
EDGE,997,163,103,517,2025,17,
EDGE,546,835,811,1888,508,48,
EDGE,970,224,590,1743,3231,22,
EDGE,957,859,866,365,1492,15,
EDGE,606,325,826,1521,2989,37,
EDGE,28,720,718,730,4700,36,
EDGE,145,576,972,395,4082,34,
EDGE,316,179,503,87,789,3,
EDGE,238,616,225,50,4362,30,
EDGE,0,339,940,1267,1700,8,
EDGE,348,734,182,1891,2700,3,
EDGE,22,151,601,1453,1210,49,
EDGE,113,866,539,1772,3039,4,
EDGE,382,721,965,1366,3290,37,
EDGE,103,344,310,670,1167,10,
EDGE,749,971,448,1631,4041,41,
EDGE,324,178,725,1993,4653,44,
EDGE,910,951,629,1621,2973,14,
EDGE,681,603,835,369,3149,19,
EDGE,751,705,302,270,1505,46,
EDGE,1,971,719,1952,4742,25,
EDGE,871,789,989,1172,315,11,
EDGE,616,325,944,1666,1859,40,
EDGE,579,106,960,1026,1202,21,
EDGE,763,79,244,720,2667,10,
EDGE,651,906,987,191,2800,28,
EDGE,11,271,215,521,605,22,
EDGE,262,805,111,1485,60,3,
EDGE,395,448,751,869,1412,26,
EDGE,504,902,388,729,4523,24,
EDGE,103,848,491,1625,4785,41,
EDGE,776,703,231,343,3746,4,
EDGE,818,866,35,613,214,20,
EDGE,267,974,108,161,2850,10,
EDGE,909,384,165,1509,664,35,
EDGE,964,919,96,702,4916,39,
EDGE,914,494,722,73,3583,41,
EDGE,168,621,912,899,1336,3,
EDGE,103,339,211,399,3402,44,
EDGE,567,739,948,1504,4474,16,
EDGE,676,288,305,496,835,3,
EDGE,402,585,563,1730,4071,9,
EDGE,55,369,4,885,767,18,
EDGE,843,677,641,1239,3984,12,
EDGE,99,26,212,359,2440,5,
EDGE,484,864,119,641,3306,30,
EDGE,500,916,677,552,796,41,
EDGE,557,396,190,769,3174,23,
EDGE,191,456,46,549,3652,29,
EDGE,269,231,858,560,4672,3,
EDGE,154,770,714,1376,842,5,
EDGE,684,352,828,1118,3441,48,
EDGE,603,232,567,134,3221,33,
EDGE,428,988,549,1417,3939,36,
EDGE,902,241,488,622,696,25,
EDGE,924,874,732,81,4163,36,
EDGE,922,529,820,1180,1257,7,
EDGE,972,775,460,364,1419,13,
EDGE,827,197,130,97,3518,5,
EDGE,699,445,207,1694,1261,38,
EDGE,264,327,933,1499,598,5,
EDGE,397,569,407,1140,2721,17,
EDGE,532,469,940,1798,151,50,
EDGE,717,638,602,1080,3487,7,
EDGE,424,153,152,1170,4866,37,
EDGE,776,987,963,215,915,36,
EDGE,798,103,805,595,4437,22,
EDGE,898,420,271,794,4027,36,
EDGE,623,484,39,362,2306,25,
EDGE,147,633,624,1404,3340,2,
EDGE,405,910,901,688,1996,3,
EDGE,763,486,943,560,3101,1,
EDGE,345,837,813,630,2597,17,
EDGE,863,503,879,1435,854,14,
EDGE,137,307,998,1533,3679,49,
EDGE,845,328,276,1502,3464,38,
EDGE,661,91,193,914,1781,26,
EDGE,758,496,778,1067,3113,3,
EDGE,527,810,163,144,2598,45,
EDGE,518,413,139,1608,4344,36,
EDGE,29,177,198,1802,1694,3,
EDGE,255,33,468,113,3002,45,
EDGE,203,280,378,1696,3852,32,
EDGE,406,650,946,263,300,15,
EDGE,381,500,609,923,1504,30,
EDGE,600,564,359,715,1389,16,
EDGE,766,850,706,195,2385,1,
EDGE,395,50,167,1758,4737,49,
EDGE,988,219,878,463,1894,43,
EDGE,211,275,668,848,4254,1,
EDGE,885,799,991,1581,122,30,
EDGE,933,135,663,364,4974,0,
EDGE,229,258,623,1658,2552,45,
EDGE,990,726,659,573,3521,24,
EDGE,872,357,471,526,1837,29,
EDGE,309,693,534,1698,3303,37,
EDGE,104,7,524,1366,3115,35,
EDGE,662,608,624,588,2495,43,
EDGE,110,493,66,698,2314,40,
EDGE,332,882,284,544,2497,12,
EDGE,153,529,784,502,515,38,
EDGE,413,676,328,1404,1196,46,
EDGE,26,671,510,615,2175,26,
EDGE,414,397,755,82,4826,45,
EDGE,585,835,195,712,1871,43,
EDGE,547,653,804,984,2986,32,
EDGE,307,865,175,1731,4623,11,
EDGE,300,99,483,272,2168,46,
EDGE,827,572,782,1879,1549,43,
EDGE,921,343,671,192,1870,22,
EDGE,228,762,893,638,3494,50,
EDGE,908,339,381,543,4846,18,
EDGE,474,871,121,973,489,40,
EDGE,597,594,967,1281,633,30,
EDGE,910,199,513,255,3176,33,
EDGE,305,423,56,1793,1285,8,
EDGE,205,350,420,1176,3798,9,
EDGE,323,883,733,379,712,31,
EDGE,340,646,182,651,525,0,
EDGE,462,280,215,1568,1431,36,
EDGE,782,162,502,1618,771,8,
EDGE,629,444,649,889,3354,27,
EDGE,988,488,393,19,359,34,
EDGE,204,748,383,1955,165,20,
EDGE,775,853,544,400,196,43,
EDGE,4,641,752,519,1903,44,
EDGE,898,352,320,274,891,24,
EDGE,515,602,314,352,584,2,
EDGE,305,971,298,943,4312,38,
EDGE,536,345,445,1828,1146,21,
EDGE,923,501,368,1546,1593,10,
EDGE,970,928,941,1672,3354,1,
EDGE,233,229,745,278,1780,46,
EDGE,22,603,517,356,1058,23,
EDGE,728,666,812,86,3123,40,
EDGE,261,789,548,1286,448,38,
EDGE,49,677,111,1348,211,3,
EDGE,706,118,427,919,3165,7,
EDGE,560,258,486,1447,1304,13,
EDGE,711,702,646,29,2516,26,
EDGE,677,103,679,1075,2261,39,
EDGE,620,717,141,867,909,32,
EDGE,736,632,121,588,983,50,
EDGE,108,509,204,1257,1686,49,
EDGE,269,851,536,423,2982,45,
EDGE,419,302,165,90,4540,31,
EDGE,932,212,705,1921,3987,21,
EDGE,240,2,14,1385,779,7,
EDGE,855,587,686,1021,1271,5,
EDGE,798,523,77,1491,879,16,
EDGE,659,236,468,616,2213,29,
EDGE,51,102,833,367,373,18,
EDGE,368,820,694,650,3539,47,
EDGE,118,97,872,1562,425,0,
EDGE,872,141,680,1335,1446,21,
EDGE,366,915,449,1966,2247,46,
EDGE,95,381,835,711,1548,7,
EDGE,410,409,986,944,2276,24,
EDGE,706,871,490,1648,3504,41,
EDGE,907,816,171,241,1135,44,
EDGE,743,60,966,1739,1355,6,
EDGE,426,933,605,998,4710,43,
EDGE,448,185,626,787,2987,39,
EDGE,29,883,701,1812,1120,30,
EDGE,942,499,116,1827,3419,28,
EDGE,47,64,268,1351,2624,0,
EDGE,721,889,695,1084,4773,46,
EDGE,578,229,979,1381,2821,33,
EDGE,535,704,718,1276,830,27,
EDGE,677,744,255,996,2882,42,
EDGE,692,656,395,314,4623,39,
EDGE,55,11,659,1923,1335,32,
EDGE,869,480,873,1025,1404,4,
EDGE,769,503,329,503,2760,17,
EDGE,51,519,229,1137,3151,25,
EDGE,836,240,81,950,3688,36,
EDGE,458,90,878,1030,3712,20,
EDGE,121,509,764,1348,195,6,
EDGE,413,422,37,1151,4548,0,
EDGE,845,93,811,1247,2545,32,
EDGE,575,211,671,1385,3787,21,
EDGE,372,845,56,1682,1876,29,
EDGE,339,573,786,1279,4964,30,
EDGE,733,672,373,1476,3757,7,
EDGE,99,777,675,464,67,21,
EDGE,363,849,649,1985,2441,35,
EDGE,534,382,719,227,425,10,
EDGE,504,143,842,1478,3402,6,
EDGE,260,625,201,394,1039,25,
EDGE,220,468,845,1610,1611,45,
EDGE,346,110,776,858,430,40,
EDGE,857,688,603,262,3740,29,
EDGE,674,603,980,1042,1152,31,
EDGE,4,543,754,109,4582,27,
EDGE,858,599,495,1903,4214,49,
EDGE,943,932,182,1426,4789,11,
EDGE,748,834,132,222,3223,42,
EDGE,614,620,904,669,4179,24,
EDGE,428,623,938,1428,2083,17,
EDGE,407,986,352,1997,2459,28,
EDGE,824,136,142,855,4985,44,
EDGE,907,766,525,622,4537,20,
EDGE,728,754,958,1143,1830,12,
EDGE,214,639,732,605,2878,43,
EDGE,135,727,666,1972,1506,32,
EDGE,555,710,653,670,995,48,
EDGE,360,575,492,1203,4724,42,
EDGE,727,427,691,1541,4423,18,
EDGE,898,867,433,1665,154,33,
EDGE,109,25,391,307,484,42,
EDGE,57,204,274,1546,1368,18,
EDGE,699,256,150,1729,558,44,
EDGE,803,302,209,1553,4483,2,
EDGE,367,833,464,219,4652,14,
EDGE,760,662,575,806,1996,32,
EDGE,803,815,818,1435,2406,44,
EDGE,680,48,949,791,3224,26,
EDGE,979,807,1000,1413,2611,35,
EDGE,55,13,762,524,1713,39,
EDGE,889,799,882,1792,3679,14,
EDGE,933,648,722,1463,3062,48,
EDGE,602,559,757,1245,1659,49,
EDGE,742,987,199,612,3726,11,
EDGE,699,76,192,1981,1473,47,
EDGE,526,122,387,93,3560,17,
EDGE,569,270,134,339,4834,16,
EDGE,5,338,478,1463,1318,2,
EDGE,157,950,331,1232,466,49,
EDGE,954,640,631,1736,2517,31,
EDGE,808,586,564,743,647,50,
EDGE,724,325,539,460,1556,33,
EDGE,69,805,518,336,3457,34,
EDGE,549,413,95,725,1862,13,
EDGE,679,339,340,748,2454,13,
EDGE,973,770,634,1096,3940,35,
EDGE,843,770,665,28,989,42,
EDGE,354,456,247,1862,2047,2,
EDGE,698,906,329,791,978,24,
EDGE,262,553,742,589,252,33,
EDGE,841,788,384,1063,4217,28,
EDGE,498,44,304,1849,1627,20,
EDGE,526,84,971,206,1421,49,
EDGE,550,546,8,1293,586,13,
EDGE,686,644,793,446,3525,6,
EDGE,210,550,849,1449,3615,41,
EDGE,836,962,74,1539,1309,1,
EDGE,470,734,340,87,766,4,
EDGE,55,182,814,525,4621,4,
EDGE,588,841,234,1875,2168,26,
EDGE,397,461,646,838,3597,20,
EDGE,17,398,690,252,4431,0,
EDGE,656,737,634,139,4847,2,
EDGE,717,868,75,742,4169,6,
EDGE,296,805,703,627,758,18,
EDGE,783,948,449,791,3286,42,
EDGE,31,485,161,1102,1851,8,
EDGE,764,400,816,1643,4520,18,
EDGE,983,649,148,620,3106,0,
EDGE,566,895,569,299,1059,2,
EDGE,5,586,611,817,4450,35,
EDGE,969,87,313,440,2866,13,
EDGE,422,927,662,1753,4248,9,
EDGE,164,188,227,1273,2120,12,
EDGE,117,185,688,1647,4697,3,
EDGE,871,769,955,1134,3828,41,
EDGE,562,74,298,1385,601,16,
EDGE,100,202,744,1199,4041,21,
EDGE,365,131,688,1352,1971,6,
EDGE,291,634,72,1853,1635,20,
EDGE,497,461,337,1272,2554,44,
EDGE,598,156,580,1170,3035,20,
EDGE,981,438,173,19,2615,15,
EDGE,804,226,730,1525,3622,17,
EDGE,860,368,138,1401,2766,30,
EDGE,473,456,368,1596,2552,31,
EDGE,564,111,180,1332,721,17,
EDGE,879,846,144,1835,4462,12,
EDGE,269,751,908,1293,676,46,
EDGE,77,913,20,1749,4204,40,
EDGE,31,832,596,1195,3368,49,
EDGE,604,217,929,85,4568,16,
EDGE,556,915,553,976,1267,23,
EDGE,401,228,913,1591,4880,46,
EDGE,877,297,138,961,4155,32,
EDGE,92,406,373,1038,136,42,
EDGE,244,868,988,1661,1408,48,
EDGE,526,143,457,336,1517,36,
EDGE,971,579,676,1796,1247,47,
EDGE,749,495,962,744,381,14,
EDGE,779,499,238,138,2215,23,
EDGE,239,43,685,433,4292,50,
EDGE,369,397,481,1889,3774,2,
EDGE,40,664,332,221,4321,40,
EDGE,849,280,855,1529,2207,37,
EDGE,557,583,179,781,3150,23,
EDGE,601,669,920,1721,687,33,
EDGE,257,385,997,1868,1875,33,
EDGE,415,361,837,1787,2876,31,
EDGE,811,493,909,1247,104,32,
EDGE,903,142,451,349,1934,4,
EDGE,526,658,288,443,1280,11,
EDGE,161,370,617,1479,1019,42,
EDGE,235,424,831,686,978,30,
EDGE,691,490,491,441,4889,10,
EDGE,662,853,421,55,2046,2,
EDGE,130,587,607,339,1153,40,
EDGE,524,40,913,1182,1253,3,
EDGE,170,264,945,378,4282,25,
EDGE,613,992,578,1315,202,46,
EDGE,745,677,842,590,752,13,
EDGE,459,621,483,1786,3995,10,
EDGE,224,850,421,1240,1219,50,
EDGE,596,840,786,382,4234,16,
EDGE,171,741,703,711,3764,38,
EDGE,604,70,236,784,3207,8,
EDGE,111,16,208,1080,4181,43,
EDGE,429,846,154,1250,838,11,
EDGE,487,923,630,1238,369,50,
EDGE,544,515,771,250,813,30,
EDGE,675,133,924,1245,4467,0,
EDGE,918,960,794,1399,3584,33,
EDGE,430,379,896,98,4390,27,
EDGE,234,960,822,997,3173,22,
EDGE,603,823,760,1869,4769,6,
EDGE,435,137,261,987,1954,5,
EDGE,290,612,898,1123,3397,16,
EDGE,193,5,727,1532,108,36,
EDGE,535,120,533,24,3122,41,
EDGE,210,704,824,656,3399,23,
EDGE,109,158,437,1344,4845,16,
EDGE,267,875,549,877,4675,23,
EDGE,626,282,697,823,1718,26,
EDGE,565,802,571,998,1514,23,
EDGE,572,568,496,529,2562,36,
EDGE,352,792,723,825,1181,42,
EDGE,121,765,236,924,1375,6,
EDGE,219,520,411,1619,2822,35,
EDGE,628,713,701,1457,476,10,
EDGE,398,987,652,20,796,9,
EDGE,482,948,615,901,772,4,
EDGE,269,227,380,173,359,46,
EDGE,393,953,411,1267,4318,18,
EDGE,728,986,612,127,1485,40,
EDGE,506,449,11,423,4294,18,
EDGE,199,34,803,1237,4232,33,
EDGE,715,237,630,357,345,23,
EDGE,244,670,1,332,761,17,
EDGE,798,409,362,1381,3287,25,
EDGE,600,205,531,41,612,5,
EDGE,562,291,744,1709,4630,37,
EDGE,356,355,987,1680,2315,14,
EDGE,620,986,200,941,3359,36,
EDGE,4,267,180,843,4197,6,
EDGE,572,74,516,612,2835,7,
EDGE,822,525,980,537,4456,50,
EDGE,588,256,711,916,3139,36,
EDGE,495,788,250,1561,2832,49,
EDGE,469,697,472,1846,4857,1,
EDGE,493,119,265,148,3184,40,
EDGE,807,225,694,1446,1933,20,
EDGE,422,978,362,1067,4438,0,
EDGE,717,852,270,518,2403,5,
EDGE,408,689,767,1691,2851,4,
EDGE,567,953,183,985,2621,22,
EDGE,223,915,588,561,1547,47,
EDGE,699,952,932,399,4137,47,
EDGE,204,240,754,505,2224,13,
EDGE,234,207,855,521,2966,9,
EDGE,797,109,123,1894,692,43,
EDGE,978,679,505,1267,104,48,
EDGE,877,554,981,96,4000,23,
EDGE,635,322,505,1849,4756,17,
EDGE,502,187,783,1885,4237,17,
EDGE,407,227,769,1191,1100,3,
EDGE,538,818,434,989,4479,2,
EDGE,514,355,404,1772,1481,29,
EDGE,999,123,716,1071,3818,20,
EDGE,705,8,13,1390,1776,24,
EDGE,594,103,334,750,2177,11,
EDGE,561,269,243,561,3911,39,
EDGE,351,374,189,1031,3522,13,
EDGE,429,717,771,772,3040,25,
EDGE,286,461,185,1180,1124,36,
EDGE,702,234,834,214,2261,15,
EDGE,568,442,877,790,1656,9,
EDGE,819,982,757,316,3924,0,
EDGE,180,431,512,285,4285,34,
EDGE,737,323,805,1006,2507,16,
EDGE,575,879,582,107,3313,6,
EDGE,707,167,62,451,2133,30,
EDGE,859,644,99,931,2791,16,
EDGE,369,368,574,1151,2161,22,
EDGE,20,421,125,729,1679,36,
EDGE,589,665,665,1112,1479,49,
EDGE,291,363,333,1388,4231,31,
EDGE,793,754,458,1831,692,24,
EDGE,628,293,475,1303,1236,10,
EDGE,655,827,951,700,3505,40,
EDGE,627,585,415,1748,634,5,
EDGE,165,351,234,652,2645,41,
EDGE,298,727,274,1249,3289,17,
EDGE,908,455,800,1777,3025,47,
EDGE,601,533,989,932,3441,10,
EDGE,188,874,24,266,1972,42,
EDGE,257,963,762,1445,705,13,
EDGE,170,406,106,205,572,30,
EDGE,561,55,27,1588,3302,33,
EDGE,783,85,107,547,1322,5,
EDGE,670,953,907,808,2584,14,
EDGE,253,755,291,917,1085,8,
EDGE,539,858,175,68,337,42,
EDGE,365,881,938,676,3950,29,
EDGE,998,891,554,1924,2281,35,
EDGE,455,138,993,1952,4467,11,
EDGE,605,611,468,1302,4670,27,
EDGE,536,655,655,1103,2586,22,
EDGE,493,552,233,1658,783,28,
EDGE,315,374,423,542,1325,19,
EDGE,10,0,536,1679,1166,22,
EDGE,293,480,548,27,4079,48,
EDGE,488,306,10,1578,3576,18,
EDGE,611,236,816,24,4540,23,
EDGE,193,421,904,1158,3630,25,
EDGE,255,167,733,1519,3242,24,
EDGE,225,269,82,874,2012,33,
EDGE,782,819,932,1265,2277,18,
EDGE,664,760,545,1666,2252,26,
EDGE,192,873,71,383,1169,18,
EDGE,113,652,467,1275,3759,17,
EDGE,717,637,504,394,2676,1,
EDGE,155,50,993,1105,231,11,
EDGE,995,104,289,561,1074,45,
EDGE,448,744,9,486,788,9,
EDGE,15,505,223,710,3492,19,
EDGE,804,818,511,770,3848,44,
EDGE,810,32,339,174,1246,3,
EDGE,272,794,402,156,4499,30,
EDGE,185,196,918,1733,2098,24,
EDGE,848,12,125,1583,2089,24,
EDGE,789,998,454,516,324,12,
EDGE,471,752,790,202,4319,42,
EDGE,213,484,399,1405,2606,20,
EDGE,162,644,746,96,4552,33,
EDGE,125,259,493,1317,2497,12,
EDGE,369,908,54,1778,1834,7,
EDGE,241,648,445,674,173,10,
EDGE,813,282,599,255,3292,50,
EDGE,248,9,993,96,4810,50,
EDGE,707,486,705,1231,1319,23,
EDGE,789,91,255,332,4145,5,
EDGE,702,633,347,1916,541,3,
EDGE,364,660,158,1446,4443,50,
EDGE,109,128,500,486,2644,35,
EDGE,807,660,775,721,3643,46,
EDGE,197,21,706,783,2984,46,
EDGE,137,256,921,90,4025,45,
EDGE,448,572,302,1121,4064,12,
EDGE,580,191,557,722,2701,46,
EDGE,479,281,889,1712,4954,35,
EDGE,164,70,544,327,3731,18,
EDGE,839,269,555,761,3769,0,
EDGE,794,653,519,786,1569,1,
EDGE,634,877,373,1599,2006,20,
EDGE,738,64,675,1990,4465,24,
EDGE,194,536,700,1028,4567,9,
EDGE,627,289,331,849,2688,7,
EDGE,98,535,675,146,408,8,
EDGE,182,894,33,423,926,31,
EDGE,196,101,33,1179,3233,42,
EDGE,501,538,639,1446,4885,16,
EDGE,50,375,227,1250,630,0,
EDGE,952,943,214,1352,4075,5,
EDGE,479,820,655,134,3006,35,
EDGE,761,960,912,861,3073,50,
EDGE,725,59,844,1273,2227,33,
EDGE,41,751,73,1718,2539,4,
EDGE,967,221,984,1073,845,6,
EDGE,742,236,545,799,1602,12,
EDGE,538,672,255,1177,1515,35,
EDGE,767,571,426,1538,914,49,
EDGE,653,590,367,1391,3807,44,
EDGE,681,437,905,223,1416,50,
EDGE,184,563,412,1043,2814,42,
EDGE,161,546,615,917,2936,20,
EDGE,563,332,866,771,3427,48,
EDGE,648,440,846,1496,2699,38,
EDGE,246,576,559,448,3122,49,
EDGE,563,948,763,530,2999,28,
EDGE,458,982,407,10,333,18,
EDGE,610,16,531,286,2522,0,
EDGE,307,227,220,1762,2629,1,
EDGE,790,841,966,1422,2310,35,
EDGE,523,569,585,1906,4732,9,
EDGE,96,38,472,738,1328,8,
EDGE,271,375,911,1202,2096,14,
EDGE,262,830,308,198,4723,25,
EDGE,582,939,223,1513,682,46,
EDGE,332,811,495,364,4049,44,
EDGE,719,590,840,1868,831,38,
EDGE,657,307,39,1506,4770,24,
EDGE,80,798,58,1897,2789,22,
EDGE,900,836,445,863,1037,49,
EDGE,232,765,669,1749,4984,0,
EDGE,649,796,648,793,493,19,
EDGE,536,42,327,1115,4677,9,
EDGE,334,514,715,462,1304,3,
EDGE,689,749,403,1998,3700,48,
EDGE,609,589,517,194,1869,27,
EDGE,296,805,404,313,1132,21,
EDGE,84,487,586,1536,453,35,
EDGE,408,268,88,826,4160,27,
EDGE,792,714,134,1570,1154,30,
EDGE,572,202,500,819,4730,12,
EDGE,574,630,754,1083,2067,15,
EDGE,73,272,796,890,2699,43,
EDGE,946,589,92,240,3438,27,
EDGE,374,356,196,666,2872,38,
EDGE,671,24,789,634,1436,22,
EDGE,631,841,823,915,1244,28,
EDGE,45,946,838,488,1685,43,
EDGE,382,159,776,1501,752,7,
EDGE,757,55,249,1953,1259,18,
EDGE,14,351,711,1657,961,19,
EDGE,460,482,24,689,1762,47,
EDGE,550,216,209,1129,4336,48,
EDGE,264,561,495,1285,1207,44,
EDGE,715,684,19,781,4825,42,
EDGE,539,44,262,358,542,18,
EDGE,205,808,714,1275,2272,3,
EDGE,476,670,968,27,595,24,
EDGE,676,277,679,1755,3000,6,
EDGE,19,299,889,1819,3216,14,
EDGE,389,520,727,213,2634,31,
EDGE,887,611,545,190,1577,12,
EDGE,512,989,469,1158,226,2,
EDGE,253,944,543,634,2782,31,
EDGE,402,762,161,47,2890,43,
EDGE,360,363,641,629,1984,32,
EDGE,282,831,64,1291,2160,24,
EDGE,911,834,31,1943,4596,17,
EDGE,230,155,350,1847,3268,42,
EDGE,140,89,748,792,4315,43,
EDGE,627,893,641,1415,1913,26,
EDGE,246,586,157,883,2609,38,
EDGE,337,459,556,279,1743,41,
EDGE,141,594,555,1410,1707,8,
EDGE,316,705,723,1850,4341,8,
EDGE,440,930,1000,1587,1239,41,
EDGE,955,578,940,333,2650,4,
EDGE,570,545,972,1483,1019,11,
EDGE,325,859,901,308,291,48,
EDGE,326,901,997,857,3418,19,
EDGE,453,763,957,1692,2292,9,
EDGE,797,192,110,279,1563,1,
EDGE,780,626,632,556,4695,39,
EDGE,236,610,238,482,263,22,
EDGE,81,704,799,986,1148,32,
EDGE,866,619,481,1468,3113,11,
EDGE,872,396,504,980,1176,10,
EDGE,197,231,34,846,172,17,
EDGE,973,422,228,1530,1711,48,
EDGE,209,67,182,1908,3648,39,
EDGE,501,704,333,1785,3798,15,
EDGE,437,414,795,95,3166,46,
EDGE,320,403,627,1933,4735,38,
EDGE,549,537,657,1803,365,33,
EDGE,111,462,468,1703,397,15,
EDGE,531,550,406,1515,371,35,
EDGE,396,528,784,1301,453,12,
EDGE,298,450,408,1821,2544,49,
EDGE,847,292,473,350,3510,18,
EDGE,627,941,56,1423,4285,9,
EDGE,474,849,662,935,790,46,
EDGE,512,115,185,1604,4845,44,
EDGE,559,138,403,856,2699,28,
EDGE,25,183,465,1218,1704,29,
EDGE,92,256,332,1426,1393,45,
EDGE,750,126,94,243,3731,40,
EDGE,371,87,537,1458,3196,46,
EDGE,810,998,524,1263,1359,24,
EDGE,563,389,45,1583,1449,21,
EDGE,579,892,676,1776,1279,10,
EDGE,889,148,184,1585,470,26,
EDGE,315,316,748,1584,3705,18,
EDGE,641,185,121,1850,1127,12,
EDGE,3,637,784,528,150,29,
EDGE,509,875,511,1123,97,38,
EDGE,903,505,244,454,4873,42,
EDGE,487,464,420,914,700,38,
EDGE,614,6,251,1816,4533,17,
EDGE,634,643,571,1689,1750,3,
EDGE,189,151,57,1347,2909,2,
EDGE,148,874,34,1376,4785,38,
EDGE,305,339,943,189,451,6,
EDGE,426,182,166,1386,2379,39,
EDGE,676,708,717,1228,4738,50,
EDGE,575,181,990,942,4792,23,
EDGE,953,36,96,1583,2501,20,
EDGE,377,919,389,1689,604,48,
EDGE,437,863,564,142,2448,30,
EDGE,137,124,712,1770,2298,21,
EDGE,539,423,538,439,1762,39,
EDGE,59,111,586,1504,4383,5,
EDGE,495,741,706,1248,2402,27,
EDGE,623,868,325,541,4354,36,
EDGE,638,362,950,275,4659,31,
EDGE,532,746,648,1029,4084,11,
EDGE,904,624,239,1461,2429,12,
EDGE,1,121,25,962,1016,47,
EDGE,868,212,819,1270,3446,26,
EDGE,46,341,359,1157,1789,0,
EDGE,655,206,707,586,2134,50,
EDGE,69,315,308,1047,4555,20,
EDGE,785,6,117,1414,2780,21,
EDGE,405,741,583,1271,288,11,
EDGE,198,338,854,702,3974,30,
EDGE,816,36,662,288,3994,9,
EDGE,642,471,914,1781,4448,21,
