edge_id,farm_a_id,farm_b_id,farm_a_x,farm_a_y,farm_b_x,farm_b_y,terrain_a,terrain_b,distance_km,terrain_cost,total_cost
1519,FARM013,FARM136,0.123,9.041,0.143,8.579,flat,hilly,0.462,1.3,0.601
1520,FARM038,FARM064,0.69,5.709,2.643,1.879,hilly,rocky,4.299,2.1,9.028
1521,FARM122,FARM097,8.853,8.454,0.831,8.057,hilly,rocky,8.032,2.1,16.867
1522,FARM074,FARM080,6.55,8.131,1.171,0.152,flat,flat,9.623,1.0,9.623
1523,FARM131,FARM147,7.965,4.602,8.831,1.614,hilly,hilly,3.111,1.6,4.978
1524,FARM023,FARM125,1.087,3.597,6.529,5.218,hilly,rocky,5.678,2.1,11.924
1525,FARM086,FARM091,9.922,4.2,4.223,1.762,hilly,flat,6.199,1.3,8.059
1526,FARM126,FARM029,9.952,7.174,2.047,2.476,hilly,flat,9.196,1.3,11.955
1527,FARM131,FARM099,8.947,5.331,9.298,9.4,hilly,flat,4.084,1.3,5.309
1528,FARM098,FARM053,0.414,9.923,3.071,4.215,hilly,flat,6.296,1.3,8.185
1529,FARM038,FARM052,7.775,6.39,8.148,7.818,flat,flat,1.476,1.0,1.476
1530,FARM010,FARM070,2.148,2.122,9.697,4.172,rocky,hilly,7.822,2.1,16.426
1531,FARM070,FARM024,8.809,9.957,1.599,1.092,rocky,hilly,11.427,2.1,23.997
1532,FARM130,FARM144,9.038,7.263,6.984,9.619,flat,hilly,3.126,1.3,4.064
1533,FARM015,FARM014,3.567,5.51,2.497,3.48,hilly,rocky,2.295,2.1,4.819
1534,FARM089,FARM103,1.848,5.254,9.217,9.187,rocky,flat,8.353,1.8,15.035
1535,FARM006,FARM055,1.958,3.09,7.083,2.46,rocky,flat,5.164,1.8,9.295
1536,FARM134,FARM132,4.71,8.105,4.657,1.594,flat,rocky,6.511,1.8,11.72
1537,FARM146,FARM078,3.516,4.678,4.733,7.802,hilly,flat,3.353,1.3,4.359
1538,FARM062,FARM053,5.756,3.913,5.343,0.905,hilly,hilly,3.036,1.6,4.858
1539,FARM025,FARM086,3.855,5.878,3.468,5.204,rocky,flat,0.777,1.8,1.399
1540,FARM026,FARM147,8.614,4.793,9.092,5.726,flat,rocky,1.048,1.8,1.886
1541,FARM014,FARM060,0.684,1.727,0.537,7.869,rocky,rocky,6.144,2.6,15.974
1542,FARM087,FARM068,7.911,6.969,7.451,5.411,rocky,hilly,1.624,2.1,3.41
1543,FARM127,FARM136,1.694,8.241,8.927,5.216,rocky,flat,7.84,1.8,14.112
1544,FARM082,FARM103,3.632,4.77,8.086,4.477,rocky,flat,4.464,1.8,8.035
1545,FARM065,FARM150,2.068,2.624,6.698,3.533,hilly,flat,4.718,1.3,6.133
1546,FARM121,FARM035,3.908,0.271,7.428,4.143,flat,hilly,5.233,1.3,6.803
1547,FARM107,FARM118,1.885,6.247,4.665,0.828,hilly,flat,6.09,1.3,7.917
1548,FARM011,FARM106,3.251,5.759,4.454,3.627,hilly,rocky,2.448,2.1,5.141
1549,FARM026,FARM021,7.421,5.127,5.467,8.565,rocky,hilly,3.954,2.1,8.303
1550,FARM138,FARM111,5.835,3.611,5.442,9.957,hilly,hilly,6.358,1.6,10.173
1551,FARM137,FARM040,4.807,3.177,1.959,5.472,flat,rocky,3.658,1.8,6.584
1552,FARM053,FARM055,5.841,6.216,6.617,2.987,hilly,flat,3.321,1.3,4.317
1553,FARM085,FARM045,0.924,5.947,9.313,7.609,hilly,hilly,8.552,1.6,13.683
1554,FARM141,FARM112,3.673,3.914,5.855,9.444,flat,flat,5.945,1.0,5.945
1555,FARM137,FARM105,7.088,5.167,6.405,6.7,flat,rocky,1.678,1.8,3.02
1556,FARM103,FARM107,4.464,1.46,4.277,7.834,hilly,rocky,6.377,2.1,13.392
1557,FARM080,FARM079,5.406,1.378,0.907,6.556,hilly,flat,6.859,1.3,8.917
1558,FARM007,FARM013,8.222,8.401,5.371,0.266,hilly,hilly,8.62,1.6,13.792
1559,FARM116,FARM068,9.162,2.811,9.225,5.817,flat,hilly,3.007,1.3,3.909
1560,FARM009,FARM133,4.315,3.433,1.258,0.395,flat,rocky,4.31,1.8,7.758
1561,FARM026,FARM050,8.152,2.33,4.679,8.574,hilly,flat,7.145,1.3,9.288
1562,FARM034,FARM106,7.784,4.88,8.115,4.48,flat,hilly,0.519,1.3,0.675
1563,FARM149,FARM116,7.904,7.979,5.231,9.227,hilly,hilly,2.95,1.6,4.72
1564,FARM088,FARM065,3.787,2.437,3.937,1.085,flat,hilly,1.36,1.3,1.768
1565,FARM139,FARM074,9.251,9.704,8.199,8.694,hilly,flat,1.458,1.3,1.895
1566,FARM028,FARM037,2.831,4.507,9.543,3.422,rocky,flat,6.799,1.8,12.238
1567,FARM086,FARM122,2.693,7.442,1.108,6.586,rocky,hilly,1.801,2.1,3.782
1568,FARM019,FARM049,6.895,5.487,2.147,9.149,hilly,hilly,5.996,1.6,9.594
1569,FARM114,FARM136,2.943,9.372,0.854,2.934,rocky,rocky,6.768,2.6,17.597
1570,FARM139,FARM077,3.28,6.691,2.464,6.935,hilly,rocky,0.852,2.1,1.789
1571,FARM047,FARM109,4.151,9.684,8.363,5.126,hilly,flat,6.206,1.3,8.068
1572,FARM043,FARM046,9.43,6.109,7.001,6.164,flat,hilly,2.43,1.3,3.159
1573,FARM046,FARM074,7.59,8.282,9.048,2.568,rocky,hilly,5.897,2.1,12.384
1574,FARM055,FARM077,8.494,3.713,6.697,3.805,rocky,hilly,1.799,2.1,3.778
1575,FARM072,FARM002,5.177,3.555,4.481,9.421,hilly,rocky,5.907,2.1,12.405
1576,FARM044,FARM045,5.196,0.419,2.536,4.982,hilly,hilly,5.282,1.6,8.451
1577,FARM091,FARM044,8.602,5.552,9.885,3.352,rocky,rocky,2.547,2.6,6.622
1578,FARM122,FARM056,1.494,6.812,5.665,4.474,rocky,rocky,4.782,2.6,12.433
1579,FARM105,FARM121,3.702,8.809,3.384,7.571,flat,hilly,1.278,1.3,1.661
1580,FARM052,FARM115,4.281,2.56,5.524,9.868,hilly,hilly,7.413,1.6,11.861
1581,FARM004,FARM062,5.709,9.035,3.862,4.473,flat,hilly,4.922,1.3,6.399
1582,FARM049,FARM087,4.153,3.106,6.104,7.627,hilly,flat,4.924,1.3,6.401
1583,FARM130,FARM031,6.668,5.338,4.313,0.902,hilly,hilly,5.022,1.6,8.035
1584,FARM049,FARM132,1.651,3.854,1.632,8.365,flat,hilly,4.511,1.3,5.864
1585,FARM077,FARM002,3.379,6.992,5.336,3.391,rocky,flat,4.098,1.8,7.376
1586,FARM075,FARM041,7.978,7.891,9.221,5.597,hilly,hilly,2.609,1.6,4.174
1587,FARM144,FARM043,6.71,3.465,0.991,7.183,rocky,hilly,6.821,2.1,14.324
1588,FARM087,FARM041,0.41,2.978,2.731,8.616,flat,hilly,6.097,1.3,7.926
1589,FARM001,FARM077,3.353,9.101,2.848,8.869,hilly,hilly,0.556,1.6,0.89
1590,FARM128,FARM037,1.329,0.86,1.912,3.565,hilly,hilly,2.767,1.6,4.427
1591,FARM114,FARM096,8.23,7.836,0.257,7.694,hilly,rocky,7.974,2.1,16.745
1592,FARM040,FARM146,2.475,3.365,5.91,0.083,rocky,hilly,4.751,2.1,9.977
1593,FARM073,FARM103,5.163,1.945,8.923,5.148,flat,hilly,4.939,1.3,6.421
1594,FARM109,FARM003,5.586,5.439,2.882,6.885,hilly,hilly,3.066,1.6,4.906
1595,FARM148,FARM068,6.975,7.6,1.243,1.979,flat,rocky,8.028,1.8,14.45
1596,FARM149,FARM110,1.346,2.544,6.796,4.667,hilly,hilly,5.849,1.6,9.358
1597,FARM036,FARM049,8.135,2.672,8.986,2.226,hilly,rocky,0.961,2.1,2.018
1598,FARM081,FARM083,7.408,9.637,5.767,4.286,rocky,rocky,5.597,2.6,14.552
1599,FARM046,FARM103,7.582,3.797,5.924,7.529,hilly,flat,4.084,1.3,5.309
1600,FARM083,FARM058,9.117,9.086,7.427,2.929,flat,hilly,6.385,1.3,8.3
1601,FARM017,FARM050,6.218,5.679,7.619,0.828,flat,rocky,5.049,1.8,9.088
1602,FARM091,FARM067,5.861,9.29,1.803,6.834,hilly,hilly,4.743,1.6,7.589
1603,FARM125,FARM066,6.766,2.371,0.703,6.364,rocky,hilly,7.26,2.1,15.246
1604,FARM120,FARM017,2.491,9.985,4.414,9.759,rocky,rocky,1.936,2.6,5.034
1605,FARM143,FARM104,2.826,2.228,8.383,9.838,hilly,flat,9.423,1.3,12.25
1606,FARM089,FARM038,0.16,8.49,2.654,5.628,flat,rocky,3.796,1.8,6.833
1607,FARM012,FARM124,0.536,0.886,9.374,1.951,rocky,flat,8.902,1.8,16.024
1608,FARM047,FARM052,9.985,6.116,9.311,2.871,rocky,rocky,3.314,2.6,8.616
1609,FARM127,FARM073,8.76,3.589,6.382,4.385,rocky,rocky,2.508,2.6,6.521
1610,FARM062,FARM057,2.791,0.315,1.28,9.658,hilly,flat,9.464,1.3,12.303
1611,FARM051,FARM124,0.258,1.676,5.669,1.157,hilly,rocky,5.436,2.1,11.416
1612,FARM128,FARM081,7.006,3.864,4.125,0.49,flat,hilly,4.437,1.3,5.768
1613,FARM044,FARM142,4.45,9.673,2.531,0.657,flat,hilly,9.218,1.3,11.983
1614,FARM004,FARM090,1.286,6.473,8.721,6.286,hilly,hilly,7.437,1.6,11.899
1615,FARM086,FARM049,0.405,7.611,4.431,7.998,rocky,rocky,4.045,2.6,10.517
1616,FARM104,FARM009,0.344,3.074,3.696,9.361,rocky,flat,7.125,1.8,12.825
1617,FARM072,FARM115,0.721,4.317,6.548,6.38,hilly,hilly,6.181,1.6,9.89
1618,FARM076,FARM089,9.061,0.175,4.739,0.843,flat,hilly,4.373,1.3,5.685
1619,FARM115,FARM112,3.048,4.443,3.685,6.909,flat,hilly,2.547,1.3,3.311
1620,FARM146,FARM005,6.83,0.847,5.551,9.241,hilly,flat,8.491,1.3,11.038
1621,FARM112,FARM137,9.319,5.826,9.383,1.056,hilly,flat,4.77,1.3,6.201
1622,FARM116,FARM004,8.748,9.82,3.167,5.38,flat,flat,7.132,1.0,7.132
1623,FARM106,FARM082,4.817,9.779,5.728,3.473,rocky,flat,6.371,1.8,11.468
1624,FARM069,FARM112,6.347,5.336,9.606,9.421,flat,flat,5.226,1.0,5.226
1625,FARM143,FARM052,6.57,7.483,4.247,3.341,flat,hilly,4.749,1.3,6.174
1626,FARM057,FARM111,1.075,7.498,4.173,2.136,hilly,flat,6.193,1.3,8.051
1627,FARM051,FARM015,7.459,7.156,0.91,3.968,flat,rocky,7.284,1.8,13.111
1628,FARM023,FARM017,7.236,3.086,4.172,7.241,hilly,hilly,5.163,1.6,8.261
1629,FARM021,FARM026,9.429,8.543,4.5,8.796,flat,rocky,4.935,1.8,8.883
1630,FARM035,FARM075,7.292,9.45,2.727,2.374,rocky,flat,8.421,1.8,15.158
1631,FARM138,FARM139,2.84,0.865,6.347,4.513,flat,flat,5.06,1.0,5.06
1632,FARM026,FARM001,2.002,1.939,9.915,4.685,flat,flat,8.376,1.0,8.376
1633,FARM004,FARM110,3.423,3.01,4.31,5.109,hilly,hilly,2.279,1.6,3.646
1634,FARM074,FARM061,9.012,0.129,4.354,8.496,flat,rocky,9.576,1.8,17.237
1635,FARM046,FARM077,8.665,7.736,0.939,4.597,hilly,flat,8.339,1.3,10.841
1636,FARM015,FARM118,4.299,0.998,1.587,5.915,flat,hilly,5.615,1.3,7.3
1637,FARM140,FARM132,9.073,1.063,5.394,6.831,hilly,rocky,6.841,2.1,14.366
1638,FARM117,FARM092,7.221,4.73,6.785,0.947,flat,hilly,3.808,1.3,4.95
1639,FARM050,FARM103,1.15,7.276,7.158,1.535,hilly,flat,8.31,1.3,10.803
1640,FARM049,FARM073,9.565,0.662,8.951,2.946,hilly,rocky,2.365,2.1,4.967
1641,FARM045,FARM004,6.864,6.593,3.927,6.012,flat,hilly,2.994,1.3,3.892
1642,FARM127,FARM142,7.305,7.02,6.314,6.823,hilly,flat,1.01,1.3,1.313
1643,FARM036,FARM050,1.358,4.465,9.01,4.449,flat,rocky,7.652,1.8,13.774
1644,FARM105,FARM070,3.02,6.049,5.272,0.208,hilly,flat,6.26,1.3,8.138
1645,FARM009,FARM121,3.94,8.457,2.165,0.578,flat,hilly,8.076,1.3,10.499
1646,FARM148,FARM143,4.626,8.665,3.569,0.752,hilly,flat,7.983,1.3,10.378
1647,FARM113,FARM075,8.928,0.994,0.442,9.123,hilly,flat,11.751,1.3,15.276
1648,FARM109,FARM030,3.53,2.589,0.695,2.825,hilly,hilly,2.845,1.6,4.552
1649,FARM069,FARM024,5.2,5.871,1.349,2.542,flat,rocky,5.09,1.8,9.162
1650,FARM021,FARM059,5.958,1.865,4.364,2.241,flat,hilly,1.638,1.3,2.129
1651,FARM086,FARM107,0.209,4.107,6.786,1.255,hilly,rocky,7.169,2.1,15.055
1652,FARM017,FARM113,1.032,9.093,4.657,8.407,flat,hilly,3.689,1.3,4.796
1653,FARM094,FARM011,3.051,7.346,0.017,6.804,flat,flat,3.082,1.0,3.082
1654,FARM086,FARM051,0.894,6.503,4.321,9.491,hilly,hilly,4.547,1.6,7.275
1655,FARM037,FARM027,9.156,9.876,6.824,9.141,hilly,rocky,2.445,2.1,5.135
1656,FARM056,FARM078,6.952,9.282,5.456,5.623,flat,rocky,3.953,1.8,7.115
1657,FARM003,FARM056,1.624,1.259,4.28,1.592,rocky,hilly,2.677,2.1,5.622
1658,FARM028,FARM134,0.952,1.624,3.289,6.755,hilly,hilly,5.638,1.6,9.021
1659,FARM027,FARM136,3.571,8.515,1.122,5.235,hilly,flat,4.093,1.3,5.321
1660,FARM017,FARM040,0.497,4.545,5.764,2.446,hilly,hilly,5.67,1.6,9.072
1661,FARM137,FARM101,6.956,8.516,1.665,6.495,rocky,hilly,5.664,2.1,11.894
1662,FARM112,FARM075,2.341,7.062,3.59,0.781,flat,flat,6.404,1.0,6.404
1663,FARM019,FARM066,1.819,4.354,9.428,0.974,rocky,rocky,8.326,2.6,21.648
1664,FARM131,FARM025,6.422,9.716,6.865,8.657,rocky,flat,1.148,1.8,2.066
1665,FARM007,FARM038,5.474,4.64,0.36,2.58,hilly,flat,5.513,1.3,7.167
1666,FARM084,FARM072,2.565,1.304,5.583,3.404,rocky,rocky,3.677,2.6,9.56
1667,FARM028,FARM118,7.405,2.808,0.16,7.379,rocky,hilly,8.566,2.1,17.989
1668,FARM112,FARM103,8.914,4.38,5.278,5.336,hilly,hilly,3.76,1.6,6.016
1669,FARM017,FARM011,4.247,3.125,6.433,0.882,hilly,flat,3.132,1.3,4.072
1670,FARM095,FARM058,9.122,9.25,0.991,7.118,hilly,rocky,8.406,2.1,17.653
1671,FARM021,FARM068,2.554,7.641,3.747,1.623,flat,flat,6.135,1.0,6.135
1672,FARM094,FARM044,3.014,5.065,8.523,8.327,rocky,flat,6.402,1.8,11.524
1673,FARM020,FARM015,4.518,0.262,1.597,1.799,rocky,rocky,3.301,2.6,8.583
1674,FARM128,FARM009,2.354,4.311,9.766,2.523,flat,flat,7.625,1.0,7.625
1675,FARM091,FARM116,0.907,7.621,4.304,9.634,flat,rocky,3.949,1.8,7.108
1676,FARM093,FARM094,2.166,9.586,1.611,4.171,rocky,flat,5.443,1.8,9.797
1677,FARM138,FARM112,7.622,7.913,9.186,5.619,flat,rocky,2.776,1.8,4.997
1678,FARM043,FARM150,9.494,6.136,4.463,1.137,hilly,flat,7.092,1.3,9.22
1679,FARM061,FARM102,2.783,2.361,0.702,7.463,rocky,rocky,5.51,2.6,14.326
1680,FARM082,FARM091,0.722,9.742,5.2,3.301,hilly,rocky,7.845,2.1,16.474
1681,FARM074,FARM143,8.765,3.965,5.837,1.808,rocky,hilly,3.637,2.1,7.638
1682,FARM018,FARM050,5.678,6.667,9.586,8.515,rocky,rocky,4.323,2.6,11.24
1683,FARM051,FARM005,5.782,4.79,7.02,6.188,rocky,rocky,1.867,2.6,4.854
1684,FARM090,FARM052,1.905,4.002,2.168,5.206,hilly,flat,1.232,1.3,1.602
1685,FARM070,FARM027,7.346,1.832,3.727,8.815,flat,flat,7.865,1.0,7.865
1686,FARM129,FARM006,2.416,8.607,5.409,9.351,rocky,hilly,3.084,2.1,6.476
1687,FARM056,FARM038,3.891,7.972,4.35,4.096,flat,rocky,3.903,1.8,7.025
1688,FARM052,FARM099,9.058,8.864,0.044,1.196,hilly,rocky,11.834,2.1,24.851
1689,FARM146,FARM129,3.614,1.542,1.056,5.226,rocky,rocky,4.485,2.6,11.661
1690,FARM130,FARM102,9.765,7.598,5.188,6.005,flat,hilly,4.846,1.3,6.3
1691,FARM080,FARM022,4.923,2.316,4.235,6.703,rocky,hilly,4.441,2.1,9.326
1692,FARM044,FARM109,9.03,4.233,3.655,2.185,rocky,flat,5.752,1.8,10.354
1693,FARM083,FARM002,3.334,4.582,0.316,4.607,flat,rocky,3.018,1.8,5.432
1694,FARM004,FARM041,8.146,2.866,6.52,7.644,hilly,flat,5.047,1.3,6.561
1695,FARM012,FARM046,0.089,5.502,7.706,4.36,flat,flat,7.702,1.0,7.702
1696,FARM148,FARM036,8.102,1.286,4.494,8.191,rocky,hilly,7.791,2.1,16.361
1697,FARM068,FARM048,4.968,8.381,7.862,6.255,flat,rocky,3.591,1.8,6.464
1698,FARM040,FARM131,3.451,1.12,4.352,0.631,rocky,flat,1.025,1.8,1.845
1699,FARM091,FARM098,5.082,8.277,8.523,4.392,hilly,rocky,5.19,2.1,10.899
1700,FARM132,FARM077,6.823,1.923,2.383,5.063,hilly,flat,5.438,1.3,7.069
1701,FARM105,FARM146,0.556,2.416,7.49,7.523,hilly,flat,8.612,1.3,11.196
1702,FARM123,FARM016,3.47,6.165,2.705,0.646,hilly,rocky,5.572,2.1,11.701
1703,FARM099,FARM030,8.954,4.817,5.626,1.06,rocky,rocky,5.019,2.6,13.049
1704,FARM020,FARM019,5.272,7.673,5.405,5.784,rocky,hilly,1.894,2.1,3.977
1705,FARM065,FARM110,4.181,6.49,3.165,0.058,hilly,flat,6.512,1.3,8.466
1706,FARM117,FARM087,5.057,2.484,5.259,8.84,hilly,rocky,6.359,2.1,13.354
1707,FARM089,FARM077,2.166,6.579,0.894,2.75,rocky,rocky,4.035,2.6,10.491
1708,FARM061,FARM016,0.417,0.877,6.585,1.0,rocky,rocky,6.169,2.6,16.039
1709,FARM134,FARM006,3.753,4.495,8.668,1.298,flat,rocky,5.863,1.8,10.553
1710,FARM073,FARM102,1.731,4.415,7.967,3.015,rocky,rocky,6.391,2.6,16.617
1711,FARM093,FARM015,7.899,1.296,8.917,5.95,flat,rocky,4.764,1.8,8.575
1712,FARM030,FARM032,7.244,6.972,8.343,1.283,flat,rocky,5.794,1.8,10.429
1713,FARM125,FARM104,4.179,9.765,1.851,3.65,hilly,hilly,6.543,1.6,10.469
1714,FARM024,FARM133,8.156,7.406,1.227,5.833,flat,hilly,7.105,1.3,9.237
1715,FARM063,FARM085,8.173,8.679,0.88,0.362,rocky,flat,11.062,1.8,19.912
1716,FARM056,FARM143,4.72,5.93,6.757,7.373,flat,rocky,2.496,1.8,4.493
1717,FARM057,FARM028,8.728,5.009,9.632,5.616,hilly,flat,1.089,1.3,1.416
1718,FARM046,FARM141,9.266,3.449,7.322,7.897,flat,flat,4.854,1.0,4.854
1719,FARM137,FARM040,0.915,1.238,1.342,5.881,rocky,hilly,4.663,2.1,9.792
1720,FARM062,FARM001,8.839,4.728,8.862,9.961,rocky,hilly,5.233,2.1,10.989
1721,FARM115,FARM075,3.121,3.552,0.621,4.723,hilly,flat,2.761,1.3,3.589
1722,FARM084,FARM095,9.964,4.304,3.294,8.876,hilly,flat,8.087,1.3,10.513
1723,FARM116,FARM040,6.678,2.119,9.093,8.004,rocky,rocky,6.361,2.6,16.539
1724,FARM015,FARM130,1.362,8.192,8.799,1.968,rocky,rocky,9.698,2.6,25.215
1725,FARM060,FARM064,0.584,1.563,0.597,9.596,hilly,hilly,8.033,1.6,12.853
1726,FARM141,FARM065,7.325,6.323,3.665,3.322,flat,rocky,4.733,1.8,8.519
1727,FARM068,FARM010,1.289,9.335,9.94,4.063,rocky,hilly,10.131,2.1,21.275
1728,FARM035,FARM033,8.663,5.283,0.242,8.101,rocky,rocky,8.88,2.6,23.088
1729,FARM115,FARM052,3.357,5.59,0.634,2.246,hilly,rocky,4.312,2.1,9.055
1730,FARM008,FARM120,6.663,2.463,9.481,8.025,rocky,hilly,6.235,2.1,13.094
1731,FARM076,FARM108,1.307,7.312,2.59,0.087,hilly,flat,7.338,1.3,9.539
1732,FARM035,FARM146,5.981,1.245,9.671,6.359,rocky,hilly,6.306,2.1,13.243
1733,FARM068,FARM003,5.989,4.92,2.609,7.716,flat,rocky,4.387,1.8,7.897
1734,FARM106,FARM038,8.489,3.909,5.55,4.216,flat,hilly,2.955,1.3,3.842
1735,FARM090,FARM074,6.84,6.195,3.094,2.51,flat,rocky,5.255,1.8,9.459
1736,FARM041,FARM032,4.967,0.29,1.62,6.274,rocky,hilly,6.856,2.1,14.398
1737,FARM058,FARM083,7.397,6.804,7.744,5.103,hilly,hilly,1.736,1.6,2.778
1738,FARM042,FARM002,3.305,7.808,1.665,2.687,hilly,hilly,5.377,1.6,8.603
1739,FARM075,FARM071,5.803,4.239,6.174,6.545,rocky,flat,2.336,1.8,4.205
1740,FARM059,FARM078,9.294,2.802,9.582,2.042,rocky,hilly,0.813,2.1,1.707
1741,FARM036,FARM034,9.108,7.888,0.676,8.25,flat,rocky,8.44,1.8,15.192
1742,FARM003,FARM089,7.91,2.386,7.621,9.896,flat,hilly,7.516,1.3,9.771
1743,FARM136,FARM082,8.113,6.701,3.589,3.068,hilly,flat,5.802,1.3,7.543
1744,FARM128,FARM011,2.082,3.571,1.561,5.105,rocky,flat,1.62,1.8,2.916
1745,FARM125,FARM144,8.937,8.995,4.217,7.641,rocky,rocky,4.91,2.6,12.766
1746,FARM049,FARM008,6.272,6.028,1.358,0.67,rocky,rocky,7.27,2.6,18.902
1747,FARM029,FARM104,2.551,6.003,3.403,8.094,flat,hilly,2.258,1.3,2.935
1748,FARM015,FARM022,5.418,1.938,0.668,7.626,hilly,hilly,7.411,1.6,11.858
1749,FARM016,FARM059,5.724,7.157,3.285,5.368,hilly,rocky,3.025,2.1,6.353
1750,FARM049,FARM004,0.352,5.047,9.741,3.86,flat,rocky,9.464,1.8,17.035
1751,FARM059,FARM026,3.367,3.647,1.786,5.414,flat,flat,2.371,1.0,2.371
1752,FARM024,FARM089,5.516,7.759,2.23,3.773,hilly,hilly,5.166,1.6,8.266
1753,FARM071,FARM009,1.164,3.787,4.881,7.062,rocky,hilly,4.954,2.1,10.403
1754,FARM062,FARM069,9.798,9.653,1.692,9.89,flat,flat,8.109,1.0,8.109
1755,FARM029,FARM042,5.026,2.543,7.523,6.31,rocky,hilly,4.519,2.1,9.49
1756,FARM019,FARM130,0.524,9.608,2.917,9.322,flat,hilly,2.41,1.3,3.133
1757,FARM029,FARM128,8.378,4.626,7.748,5.25,rocky,flat,0.887,1.8,1.597
1758,FARM090,FARM133,8.951,2.531,2.198,8.284,hilly,hilly,8.871,1.6,14.194
1759,FARM091,FARM030,3.722,6.573,5.153,8.242,hilly,rocky,2.198,2.1,4.616
1760,FARM094,FARM106,5.712,1.268,1.997,6.85,hilly,hilly,6.705,1.6,10.728
1761,FARM079,FARM016,3.492,9.366,1.48,1.283,rocky,hilly,8.33,2.1,17.493
1762,FARM126,FARM118,9.01,0.36,2.167,3.029,flat,hilly,7.345,1.3,9.549
1763,FARM100,FARM010,7.696,9.959,0.242,0.106,rocky,flat,12.355,1.8,22.239
1764,FARM066,FARM002,4.448,5.586,0.881,9.779,flat,hilly,5.505,1.3,7.157
1765,FARM034,FARM019,6.616,8.974,2.789,3.667,rocky,hilly,6.543,2.1,13.74
1766,FARM132,FARM014,6.259,7.14,9.47,6.988,rocky,flat,3.215,1.8,5.787
1767,FARM104,FARM130,4.796,6.356,6.777,6.903,rocky,rocky,2.055,2.6,5.343
1768,FARM054,FARM075,4.865,2.995,7.764,5.187,hilly,hilly,3.634,1.6,5.814
1769,FARM057,FARM112,3.782,0.501,2.954,7.74,flat,rocky,7.286,1.8,13.115
1770,FARM137,FARM019,4.781,2.141,9.314,8.424,hilly,flat,7.748,1.3,10.072
1771,FARM062,FARM140,5.412,8.095,7.814,9.893,flat,hilly,3.0,1.3,3.9
1772,FARM087,FARM137,6.529,5.193,4.49,7.785,hilly,hilly,3.298,1.6,5.277
1773,FARM036,FARM081,4.055,9.555,3.774,0.973,hilly,flat,8.587,1.3,11.163
1774,FARM109,FARM070,3.696,1.724,1.476,3.504,flat,rocky,2.845,1.8,5.121
1775,FARM125,FARM116,0.643,7.739,5.565,1.264,rocky,rocky,8.133,2.6,21.146
1776,FARM090,FARM037,9.779,2.978,2.239,8.746,hilly,hilly,9.493,1.6,15.189
1777,FARM099,FARM022,3.078,1.492,9.079,9.522,rocky,rocky,10.025,2.6,26.065
1778,FARM095,FARM026,9.668,3.685,9.065,2.857,rocky,rocky,1.024,2.6,2.662
1779,FARM047,FARM134,3.361,2.319,7.919,2.121,hilly,flat,4.562,1.3,5.931
1780,FARM054,FARM070,3.563,1.557,9.113,5.918,rocky,hilly,7.058,2.1,14.822
1781,FARM046,FARM074,1.576,4.513,8.688,6.409,flat,hilly,7.36,1.3,9.568
1782,FARM132,FARM144,4.522,4.401,4.906,1.182,rocky,hilly,3.242,2.1,6.808
1783,FARM021,FARM103,6.119,6.81,3.387,8.296,flat,hilly,3.11,1.3,4.043
1784,FARM096,FARM112,6.51,0.892,0.336,3.274,hilly,rocky,6.618,2.1,13.898
1785,FARM132,FARM072,5.334,6.865,9.66,7.864,hilly,rocky,4.44,2.1,9.324
1786,FARM074,FARM095,6.307,9.837,7.86,3.907,rocky,rocky,6.13,2.6,15.938
1787,FARM085,FARM088,4.64,8.111,1.611,2.367,hilly,hilly,6.494,1.6,10.39
1788,FARM126,FARM079,4.717,9.076,7.132,4.479,rocky,rocky,5.193,2.6,13.502
1789,FARM060,FARM150,9.321,2.769,5.676,7.516,rocky,flat,5.985,1.8,10.773
1790,FARM118,FARM093,5.21,0.958,7.593,3.359,rocky,flat,3.383,1.8,6.089
1791,FARM084,FARM009,2.392,6.493,5.459,0.707,rocky,flat,6.549,1.8,11.788
1792,FARM108,FARM082,2.3,6.437,5.011,0.846,flat,rocky,6.214,1.8,11.185
1793,FARM101,FARM117,7.886,6.18,0.944,9.948,flat,hilly,7.899,1.3,10.269
1794,FARM019,FARM054,4.045,4.569,0.417,3.339,flat,hilly,3.831,1.3,4.98
1795,FARM066,FARM053,5.148,8.242,3.128,4.413,hilly,hilly,4.329,1.6,6.926
1796,FARM046,FARM089,6.048,6.785,6.352,2.109,flat,rocky,4.686,1.8,8.435
1797,FARM112,FARM032,4.433,7.177,5.598,6.084,hilly,rocky,1.597,2.1,3.354
1798,FARM039,FARM048,3.485,9.623,6.79,1.31,hilly,rocky,8.946,2.1,18.787
1799,FARM087,FARM078,7.785,4.976,2.364,1.306,hilly,hilly,6.546,1.6,10.474
1800,FARM094,FARM059,0.442,3.214,9.506,3.43,hilly,rocky,9.067,2.1,19.041
1801,FARM100,FARM031,2.413,6.961,7.733,4.185,rocky,rocky,6.001,2.6,15.603
1802,FARM083,FARM032,4.196,7.183,9.477,3.098,rocky,rocky,6.677,2.6,17.36
1803,FARM141,FARM120,7.975,9.739,4.982,4.055,flat,hilly,6.424,1.3,8.351
1804,FARM042,FARM006,8.242,5.785,0.608,7.62,rocky,flat,7.851,1.8,14.132
1805,FARM074,FARM070,1.688,4.562,6.065,2.316,rocky,rocky,4.92,2.6,12.792
